arm,pair_id,i,j,order,patient,chosen,picked_i
factual,4929_454,4929,454,0,1.0,4929.0,1.0
factual,4929_454,4929,454,1,2.0,4929.0,1.0
factual,2554_3265,2554,3265,0,1.0,2554.0,1.0
factual,2554_3265,2554,3265,1,2.0,2554.0,1.0
factual,2963_4244,2963,4244,0,1.0,2963.0,1.0
factual,2963_4244,2963,4244,1,2.0,2963.0,1.0
factual,3499_4625,3499,4625,0,1.0,3499.0,1.0
factual,3499_4625,3499,4625,1,1.0,4625.0,0.0
factual,3051_2991,3051,2991,0,1.0,3051.0,1.0
factual,3051_2991,3051,2991,1,1.0,2991.0,0.0
factual,894_4316,894,4316,0,1.0,894.0,1.0
factual,894_4316,894,4316,1,2.0,894.0,1.0
factual,4734_961,4734,961,0,1.0,4734.0,1.0
factual,4734_961,4734,961,1,2.0,4734.0,1.0
factual,62_2438,62,2438,0,1.0,62.0,1.0
factual,62_2438,62,2438,1,2.0,62.0,1.0
factual,3833_1351,3833,1351,0,2.0,1351.0,0.0
factual,3833_1351,3833,1351,1,2.0,3833.0,1.0
factual,4238_1539,4238,1539,0,2.0,1539.0,0.0
factual,4238_1539,4238,1539,1,2.0,4238.0,1.0
factual,312_657,312,657,0,1.0,312.0,1.0
factual,312_657,312,657,1,2.0,312.0,1.0
factual,786_2548,786,2548,0,1.0,786.0,1.0
factual,786_2548,786,2548,1,2.0,786.0,1.0
factual,4921_1970,4921,1970,0,1.0,4921.0,1.0
factual,4921_1970,4921,1970,1,2.0,4921.0,1.0
factual,2441_2313,2441,2313,0,2.0,2313.0,0.0
factual,2441_2313,2441,2313,1,1.0,2313.0,0.0
factual,2411_1014,2411,1014,0,1.0,2411.0,1.0
factual,2411_1014,2411,1014,1,1.0,1014.0,0.0
factual,2201_4105,2201,4105,0,1.0,2201.0,1.0
factual,2201_4105,2201,4105,1,2.0,2201.0,1.0
factual,2963_4093,2963,4093,0,1.0,2963.0,1.0
factual,2963_4093,2963,4093,1,2.0,2963.0,1.0
factual,2813_901,2813,901,0,2.0,901.0,0.0
factual,2813_901,2813,901,1,2.0,2813.0,1.0
factual,4952_2177,4952,2177,0,1.0,4952.0,1.0
factual,4952_2177,4952,2177,1,2.0,4952.0,1.0
factual,2787_665,2787,665,0,1.0,2787.0,1.0
factual,2787_665,2787,665,1,2.0,2787.0,1.0
factual,447_546,447,546,0,1.0,447.0,1.0
factual,447_546,447,546,1,2.0,447.0,1.0
factual,3257_3479,3257,3479,0,2.0,3479.0,0.0
factual,3257_3479,3257,3479,1,1.0,3479.0,0.0
factual,1563_3293,1563,3293,0,1.0,1563.0,1.0
factual,1563_3293,1563,3293,1,2.0,1563.0,1.0
factual,3636_1253,3636,1253,0,2.0,1253.0,0.0
factual,3636_1253,3636,1253,1,2.0,3636.0,1.0
factual,1533_3021,1533,3021,0,1.0,1533.0,1.0
factual,1533_3021,1533,3021,1,1.0,3021.0,0.0
factual,1016_667,1016,667,0,2.0,667.0,0.0
factual,1016_667,1016,667,1,2.0,1016.0,1.0
factual,2900_2655,2900,2655,0,1.0,2900.0,1.0
factual,2900_2655,2900,2655,1,2.0,2900.0,1.0
factual,4274_3353,4274,3353,0,2.0,3353.0,0.0
factual,4274_3353,4274,3353,1,1.0,3353.0,0.0
factual,928_1390,928,1390,0,1.0,928.0,1.0
factual,928_1390,928,1390,1,2.0,928.0,1.0
factual,1179_1235,1179,1235,0,1.0,1179.0,1.0
factual,1179_1235,1179,1235,1,2.0,1179.0,1.0
factual,587_16,587,16,0,2.0,16.0,0.0
factual,587_16,587,16,1,2.0,587.0,1.0
factual,2557_2233,2557,2233,0,1.0,2557.0,1.0
factual,2557_2233,2557,2233,1,2.0,2557.0,1.0
factual,2508_1807,2508,1807,0,1.0,2508.0,1.0
factual,2508_1807,2508,1807,1,2.0,2508.0,1.0
factual,2525_3767,2525,3767,0,1.0,2525.0,1.0
factual,2525_3767,2525,3767,1,2.0,2525.0,1.0
factual,1297_1350,1297,1350,0,1.0,1297.0,1.0
factual,1297_1350,1297,1350,1,2.0,1297.0,1.0
factual,1677_1221,1677,1221,0,1.0,1677.0,1.0
factual,1677_1221,1677,1221,1,1.0,1221.0,0.0
factual,2277_728,2277,728,0,1.0,2277.0,1.0
factual,2277_728,2277,728,1,2.0,2277.0,1.0
factual,377_4251,377,4251,0,1.0,377.0,1.0
factual,377_4251,377,4251,1,2.0,377.0,1.0
factual,3283_4769,3283,4769,0,2.0,4769.0,0.0
factual,3283_4769,3283,4769,1,1.0,4769.0,0.0
factual,3110_4548,3110,4548,0,1.0,3110.0,1.0
factual,3110_4548,3110,4548,1,2.0,3110.0,1.0
factual,1857_2002,1857,2002,0,2.0,2002.0,0.0
factual,1857_2002,1857,2002,1,1.0,2002.0,0.0
factual,3727_4460,3727,4460,0,1.0,3727.0,1.0
factual,3727_4460,3727,4460,1,2.0,3727.0,1.0
factual,1166_1558,1166,1558,0,1.0,1166.0,1.0
factual,1166_1558,1166,1558,1,2.0,1166.0,1.0
factual,2417_1315,2417,1315,0,1.0,2417.0,1.0
factual,2417_1315,2417,1315,1,,,
factual,503_4557,503,4557,0,1.0,503.0,1.0
factual,503_4557,503,4557,1,2.0,503.0,1.0
factual,4526_2301,4526,2301,0,,,
factual,4526_2301,4526,2301,1,2.0,4526.0,1.0
factual,4639_4225,4639,4225,0,1.0,4639.0,1.0
factual,4639_4225,4639,4225,1,2.0,4639.0,1.0
factual,3573_1027,3573,1027,0,1.0,3573.0,1.0
factual,3573_1027,3573,1027,1,1.0,1027.0,0.0
