arm,pair_id,i,j,order,patient,chosen,picked_i
factual,0,3929,1806,0,1.0,3929.0,1.0
factual,0,3929,1806,1,2.0,3929.0,1.0
factual,1,1335,4290,0,2.0,4290.0,0.0
factual,1,1335,4290,1,1.0,4290.0,0.0
factual,2,4210,406,0,,,
factual,2,4210,406,1,2.0,4210.0,1.0
factual,3,2277,728,0,1.0,2277.0,1.0
factual,3,2277,728,1,1.0,728.0,0.0
factual,4,2251,3333,0,2.0,3333.0,0.0
factual,4,2251,3333,1,1.0,3333.0,0.0
factual,5,148,3232,0,2.0,3232.0,0.0
factual,5,148,3232,1,1.0,3232.0,0.0
factual,6,4244,2963,0,1.0,4244.0,1.0
factual,6,4244,2963,1,2.0,4244.0,1.0
factual,7,4229,432,0,1.0,4229.0,1.0
factual,7,4229,432,1,2.0,4229.0,1.0
factual,8,332,3806,0,2.0,3806.0,0.0
factual,8,332,3806,1,1.0,3806.0,0.0
factual,9,3801,4236,0,2.0,4236.0,0.0
factual,9,3801,4236,1,2.0,3801.0,1.0
factual,10,2453,1187,0,2.0,1187.0,0.0
factual,10,2453,1187,1,1.0,1187.0,0.0
factual,11,4549,3664,0,1.0,4549.0,1.0
factual,11,4549,3664,1,,,
factual,12,2039,1646,0,2.0,1646.0,0.0
factual,12,2039,1646,1,1.0,1646.0,0.0
factual,13,1229,1143,0,1.0,1229.0,1.0
factual,13,1229,1143,1,2.0,1229.0,1.0
factual,14,961,4734,0,1.0,961.0,1.0
factual,14,961,4734,1,2.0,961.0,1.0
factual,15,1331,4029,0,1.0,1331.0,1.0
factual,15,1331,4029,1,1.0,4029.0,0.0
factual,16,1668,2143,0,1.0,1668.0,1.0
factual,16,1668,2143,1,2.0,1668.0,1.0
factual,17,854,1720,0,1.0,854.0,1.0
factual,17,854,1720,1,2.0,854.0,1.0
factual,18,4688,2319,0,1.0,4688.0,1.0
factual,18,4688,2319,1,2.0,4688.0,1.0
factual,19,1226,3379,0,2.0,3379.0,0.0
factual,19,1226,3379,1,1.0,3379.0,0.0
factual,20,3131,4567,0,1.0,3131.0,1.0
factual,20,3131,4567,1,1.0,4567.0,0.0
factual,21,3585,4480,0,2.0,4480.0,0.0
factual,21,3585,4480,1,2.0,3585.0,1.0
factual,22,3828,3041,0,1.0,3828.0,1.0
factual,22,3828,3041,1,1.0,3041.0,0.0
factual,23,3053,2179,0,1.0,3053.0,1.0
factual,23,3053,2179,1,2.0,3053.0,1.0
factual,24,4778,4201,0,1.0,4778.0,1.0
factual,24,4778,4201,1,2.0,4778.0,1.0
factual,25,786,2548,0,1.0,786.0,1.0
factual,25,786,2548,1,2.0,786.0,1.0
factual,26,2546,765,0,1.0,2546.0,1.0
factual,26,2546,765,1,2.0,2546.0,1.0
factual,27,637,4071,0,1.0,637.0,1.0
factual,27,637,4071,1,1.0,4071.0,0.0
factual,28,1000,4676,0,2.0,4676.0,0.0
factual,28,1000,4676,1,1.0,4676.0,0.0
factual,29,3148,2031,0,1.0,3148.0,1.0
factual,29,3148,2031,1,2.0,3148.0,1.0
factual,30,2319,3651,0,1.0,2319.0,1.0
factual,30,2319,3651,1,1.0,3651.0,0.0
factual,31,3355,1084,0,1.0,3355.0,1.0
factual,31,3355,1084,1,2.0,3355.0,1.0
factual,32,2797,3953,0,,,
factual,32,2797,3953,1,2.0,2797.0,1.0
factual,33,504,706,0,1.0,504.0,1.0
factual,33,504,706,1,2.0,504.0,1.0
factual,34,1727,3834,0,1.0,1727.0,1.0
factual,34,1727,3834,1,2.0,1727.0,1.0
factual,35,314,1036,0,1.0,314.0,1.0
factual,35,314,1036,1,2.0,314.0,1.0
factual,36,3741,2517,0,1.0,3741.0,1.0
factual,36,3741,2517,1,2.0,3741.0,1.0
factual,37,1969,923,0,1.0,1969.0,1.0
factual,37,1969,923,1,2.0,1969.0,1.0
factual,38,4617,737,0,1.0,4617.0,1.0
factual,38,4617,737,1,1.0,737.0,0.0
factual,39,4457,1853,0,2.0,1853.0,0.0
factual,39,4457,1853,1,1.0,1853.0,0.0
factual,40,1446,695,0,2.0,695.0,0.0
factual,40,1446,695,1,1.0,695.0,0.0
factual,41,2181,23,0,1.0,2181.0,1.0
factual,41,2181,23,1,2.0,2181.0,1.0
factual,42,3051,2991,0,1.0,3051.0,1.0
factual,42,3051,2991,1,2.0,3051.0,1.0
factual,43,503,4557,0,1.0,503.0,1.0
factual,43,503,4557,1,1.0,4557.0,0.0
factual,44,4225,4639,0,2.0,4639.0,0.0
factual,44,4225,4639,1,1.0,4639.0,0.0
factual,45,1622,654,0,1.0,1622.0,1.0
factual,45,1622,654,1,2.0,1622.0,1.0
factual,46,4576,357,0,1.0,4576.0,1.0
factual,46,4576,357,1,2.0,4576.0,1.0
factual,47,3484,2511,0,1.0,3484.0,1.0
factual,47,3484,2511,1,2.0,3484.0,1.0
factual,48,3394,442,0,,,
factual,48,3394,442,1,1.0,442.0,0.0
factual,49,4142,2033,0,1.0,4142.0,1.0
factual,49,4142,2033,1,1.0,2033.0,0.0
factual,50,613,1406,0,1.0,613.0,1.0
factual,50,613,1406,1,1.0,1406.0,0.0
factual,51,312,657,0,1.0,312.0,1.0
