arm,pair_id,i,j,order,patient,chosen,picked_i
factual,66,1050,696,0,1,1050,1
factual,67,2251,3333,0,1,2251,1
factual,67,2251,3333,1,1,3333,0
factual,68,3405,3655,1,2,3405,1
factual,68,3405,3655,0,1,3405,1
factual,66,1050,696,1,2,1050,1
factual,69,148,3232,0,1,148,1
factual,70,368,605,0,1,368,1
factual,71,1036,314,0,1,1036,1
factual,70,368,605,1,2,368,1
factual,69,148,3232,1,1,3232,0
factual,71,1036,314,1,2,1036,1
factual,72,1509,1354,0,1,1509,1
factual,72,1509,1354,1,2,1509,1
factual,73,923,1969,0,1,923,1
factual,74,4617,737,0,1,4617,1
factual,73,923,1969,1,1,1969,0
factual,74,4617,737,1,1,737,0
factual,75,695,1446,0,1,695,1
factual,75,695,1446,1,2,695,1
factual,76,3801,4236,0,1,3801,1
factual,76,3801,4236,1,2,3801,1
factual,77,3664,4549,1,1,4549,0
factual,77,3664,4549,0,1,3664,1
factual,78,3987,4043,1,2,3987,1
factual,78,3987,4043,0,1,3987,1
factual,79,3593,1072,0,1,3593,1
factual,79,3593,1072,1,2,3593,1
factual,80,4379,1805,0,1,4379,1
factual,80,4379,1805,1,2,4379,1
factual,82,2825,300,0,1,2825,1
factual,81,3014,3260,1,2,3014,1
factual,81,3014,3260,0,1,3014,1
factual,82,2825,300,1,2,2825,1
factual,83,3607,3654,0,1,3607,1
factual,83,3607,3654,1,2,3607,1
factual,85,3820,4806,0,1,3820,1
factual,84,245,2920,0,2,2920,0
factual,84,245,2920,1,1,2920,0
factual,85,3820,4806,1,1,4806,0
factual,86,3389,3921,0,1,3389,1
factual,86,3389,3921,1,1,3921,0
factual,87,3131,4567,0,1,3131,1
factual,87,3131,4567,1,1,4567,0
factual,88,1098,2921,0,1,1098,1
factual,88,1098,2921,1,1,2921,0
factual,89,3041,3828,0,1,3041,1
factual,89,3041,3828,1,1,3828,0
factual,91,3887,512,1,2,3887,1
factual,90,2179,3053,0,1,2179,1
factual,91,3887,512,0,1,3887,1
factual,90,2179,3053,1,1,3053,0
factual,92,3815,4349,0,1,3815,1
factual,92,3815,4349,1,1,4349,0
factual,93,1000,4676,0,1,1000,1
factual,93,1000,4676,1,1,4676,0
factual,94,2031,3148,1,2,2031,1
factual,94,2031,3148,0,1,2031,1
factual,95,1352,222,1,2,1352,1
factual,95,1352,222,0,1,1352,1
factual,96,3953,2797,0,1,3953,1
factual,96,3953,2797,1,2,3953,1
factual,97,4852,1029,0,1,4852,1
factual,97,4852,1029,1,1,1029,0
factual,98,1438,175,0,1,1438,1
factual,98,1438,175,1,1,175,0
factual,33,2525,3767,0,1,2525,1
factual,33,2525,3767,1,2,2525,1
factual,34,1297,1350,0,1,1297,1
factual,34,1297,1350,1,2,1297,1
factual,35,1677,1221,0,1,1677,1
factual,35,1677,1221,1,1,1221,0
factual,36,2277,728,0,2,728,0
factual,36,2277,728,1,1,728,0
factual,37,377,4251,0,1,377,1
factual,38,3283,4769,0,2,4769,0
factual,37,377,4251,1,2,377,1
factual,38,3283,4769,1,1,4769,0
factual,39,3110,4548,0,1,3110,1
factual,40,1857,2002,0,2,2002,0
factual,39,3110,4548,1,2,3110,1
factual,40,1857,2002,1,1,2002,0
factual,41,3727,4460,0,1,3727,1
factual,41,3727,4460,1,1,4460,0
factual,42,1166,1558,0,1,1166,1
factual,42,1166,1558,1,1,1558,0
factual,43,2417,1315,0,1,2417,1
factual,43,2417,1315,1,1,1315,0
factual,44,503,4557,0,1,503,1
factual,45,4526,2301,0,1,4526,1
factual,44,503,4557,1,2,503,1
factual,45,4526,2301,1,2,4526,1
factual,46,4639,4225,0,1,4639,1
factual,46,4639,4225,1,1,4225,0
factual,49,2533,1569,0,1,2533,1
factual,48,3157,1587,0,1,3157,1
factual,47,3573,1027,0,1,3573,1
factual,47,3573,1027,1,1,1027,0
factual,48,3157,1587,1,2,3157,1
factual,49,2533,1569,1,1,1569,0
factual,51,1668,2143,0,1,1668,1
factual,50,2526,2945,0,1,2526,1
factual,50,2526,2945,1,2,2526,1
factual,52,1413,3410,1,1,3410,0
factual,51,1668,2143,1,2,1668,1
factual,52,1413,3410,0,1,1413,1
factual,53,105,2701,1,1,2701,0
factual,54,854,1720,0,1,854,1
factual,53,105,2701,0,2,2701,0
factual,54,854,1720,1,2,854,1
factual,55,1067,880,0,1,1067,1
factual,56,4576,357,1,2,4576,1
factual,57,1408,3853,0,1,1408,1
factual,56,4576,357,0,1,4576,1
factual,57,1408,3853,1,2,1408,1
factual,55,1067,880,1,1,880,0
factual,59,781,2920,0,2,2920,0
factual,58,1449,1973,1,1,1973,0
factual,58,1449,1973,0,1,1449,1
factual,59,781,2920,1,1,2920,0
factual,60,4949,4466,0,1,4949,1
factual,60,4949,4466,1,2,4949,1
factual,61,3784,4031,0,1,3784,1
factual,61,3784,4031,1,2,3784,1
factual,62,3691,873,0,1,3691,1
factual,62,3691,873,1,1,873,0
factual,63,4747,3768,1,1,3768,0
factual,63,4747,3768,0,1,4747,1
factual,64,765,2546,1,1,2546,0
factual,64,765,2546,0,1,765,1
factual,65,4161,4978,0,1,4161,1
factual,65,4161,4978,1,1,4978,0
