arm,pair_id,i,j,order,patient,chosen,picked_i
beta045_social_factual,0,4929,454,ij,1,i,1
beta045_social_factual,0,4929,454,ji,2,i,1
beta045_social_factual,1,2554,3265,ij,1,i,1
beta045_social_factual,1,2554,3265,ji,2,i,1
beta045_social_factual,2,2963,4244,ij,1,i,1
beta045_social_factual,2,2963,4244,ji,2,i,1
beta045_social_factual,3,3499,4625,ij,2,j,0
beta045_social_factual,3,3499,4625,ji,1,j,0
beta045_social_factual,4,3051,2991,ij,1,i,1
beta045_social_factual,4,3051,2991,ji,2,i,1
beta045_social_factual,5,894,4316,ij,1,i,1
beta045_social_factual,5,894,4316,ji,1,j,0
beta045_social_factual,6,4734,961,ij,1,i,1
beta045_social_factual,6,4734,961,ji,2,i,1
beta045_social_factual,7,62,2438,ij,2,j,0
beta045_social_factual,7,62,2438,ji,2,i,1
beta045_social_factual,8,3833,1351,ij,1,i,1
beta045_social_factual,8,3833,1351,ji,2,i,1
beta045_social_factual,9,4238,1539,ij,2,j,0
beta045_social_factual,9,4238,1539,ji,1,j,0
beta045_social_factual,10,312,657,ij,1,i,1
beta045_social_factual,10,312,657,ji,1,j,0
beta045_social_factual,11,786,2548,ij,1,i,1
beta045_social_factual,11,786,2548,ji,2,i,1
beta045_social_factual,12,4921,1970,ij,1,i,1
beta045_social_factual,12,4921,1970,ji,1,j,0
beta045_social_factual,13,2441,2313,ij,2,j,0
beta045_social_factual,13,2441,2313,ji,1,j,0
beta045_social_factual,14,2411,1014,ij,1,i,1
beta045_social_factual,14,2411,1014,ji,1,j,0
beta045_social_factual,15,2201,4105,ij,2,j,0
beta045_social_factual,15,2201,4105,ji,2,i,1
beta045_social_factual,16,2963,4093,ij,1,i,1
beta045_social_factual,16,2963,4093,ji,2,i,1
beta045_social_factual,17,2813,901,ij,2,j,0
beta045_social_factual,17,2813,901,ji,1,j,0
beta045_social_factual,18,4952,2177,ij,1,i,1
beta045_social_factual,18,4952,2177,ji,2,i,1
beta045_social_factual,19,2787,665,ij,1,i,1
beta045_social_factual,19,2787,665,ji,2,i,1
beta045_social_factual,20,447,546,ij,1,i,1
beta045_social_factual,20,447,546,ji,2,i,1
beta045_social_factual,21,3257,3479,ij,2,j,0
beta045_social_factual,21,3257,3479,ji,2,i,1
beta045_social_factual,22,1563,3293,ij,1,i,1
beta045_social_factual,22,1563,3293,ji,2,i,1
beta045_social_factual,23,3636,1253,ij,1,i,1
beta045_social_factual,23,3636,1253,ji,1,j,0
beta045_social_factual,24,1533,3021,ij,1,i,1
beta045_social_factual,24,1533,3021,ji,2,i,1
beta045_social_factual,25,1016,667,ij,2,j,0
beta045_social_factual,25,1016,667,ji,1,j,0
beta045_social_factual,26,2900,2655,ij,1,i,1
beta045_social_factual,26,2900,2655,ji,2,i,1
beta045_social_factual,27,4274,3353,ij,2,j,0
beta045_social_factual,27,4274,3353,ji,1,j,0
beta045_social_factual,28,928,1390,ij,1,i,1
beta045_social_factual,28,928,1390,ji,2,i,1
beta045_social_factual,29,1179,1235,ij,1,i,1
beta045_social_factual,29,1179,1235,ji,2,i,1
beta045_social_factual,30,587,16,ij,1,i,1
beta045_social_factual,30,587,16,ji,1,j,0
beta045_social_factual,31,2557,2233,ij,1,i,1
beta045_social_factual,31,2557,2233,ji,2,i,1
beta045_social_factual,32,2508,1807,ij,1,i,1
beta045_social_factual,32,2508,1807,ji,2,i,1
beta045_social_factual,33,2525,3767,ij,1,i,1
beta045_social_factual,33,2525,3767,ji,2,i,1
beta045_social_factual,34,1297,1350,ij,1,i,1
beta045_social_factual,34,1297,1350,ji,2,i,1
beta045_social_factual,35,1677,1221,ij,1,i,1
beta045_social_factual,35,1677,1221,ji,1,j,0
beta045_social_factual,36,2277,728,ij,2,j,0
beta045_social_factual,36,2277,728,ji,1,j,0
beta045_social_factual,37,377,4251,ij,1,i,1
beta045_social_factual,37,377,4251,ji,1,j,0
beta045_social_factual,38,3283,4769,ij,2,j,0
beta045_social_factual,38,3283,4769,ji,1,j,0
beta045_social_factual,39,3110,4548,ij,1,i,1
beta045_social_factual,39,3110,4548,ji,2,i,1
beta045_social_factual,40,1857,2002,ij,2,j,0
beta045_social_factual,40,1857,2002,ji,1,j,0
beta045_social_factual,41,3727,4460,ij,1,i,1
beta045_social_factual,41,3727,4460,ji,2,i,1
beta045_social_factual,42,1166,1558,ij,1,i,1
beta045_social_factual,42,1166,1558,ji,2,i,1
beta045_social_factual,43,2417,1315,ij,1,i,1
beta045_social_factual,43,2417,1315,ji,2,i,1
beta045_social_factual,44,503,4557,ij,1,i,1
beta045_social_factual,44,503,4557,ji,1,j,0
beta045_social_factual,45,4526,2301,ij,1,i,1
beta045_social_factual,45,4526,2301,ji,2,i,1
beta045_social_factual,46,4639,4225,ij,1,i,1
beta045_social_factual,46,4639,4225,ji,2,i,1
beta045_social_factual,47,3573,1027,ij,2,j,0
beta045_social_factual,47,3573,1027,ji,1,j,0
beta045_social_factual,48,3157,1587,ij,1,i,1
beta045_social_factual,48,3157,1587,ji,2,i,1
beta045_social_factual,49,2533,1569,ij,2,j,0
beta045_social_factual,49,2533,1569,ji,2,i,1
beta045_social_factual,50,2526,2945,ij,1,i,1
beta045_social_factual,50,2526,2945,ji,2,i,1
beta045_social_factual,51,1668,2143,ij,1,i,1
beta045_social_factual,51,1668,2143,ji,2,i,1
beta045_social_factual,52,1413,3410,ij,2,j,0
beta045_social_factual,52,1413,3410,ji,2,i,1
beta045_social_factual,53,105,2701,ij,2,j,0
beta045_social_factual,53,105,2701,ji,1,j,0
beta045_social_factual,54,854,1720,ij,1,i,1
beta045_social_factual,54,854,1720,ji,2,i,1
beta045_social_factual,55,1067,880,ij,2,j,0
beta045_social_factual,55,1067,880,ji,2,i,1
beta045_social_factual,56,4576,357,ij,1,i,1
beta045_social_factual,56,4576,357,ji,2,i,1
beta045_social_factual,57,1408,3853,ij,2,j,0
beta045_social_factual,57,1408,3853,ji,2,i,1
beta045_social_factual,58,1449,1973,ij,1,i,1
beta045_social_factual,58,1449,1973,ji,1,j,0
beta045_social_factual,59,781,2920,ij,2,j,0
beta045_social_factual,59,781,2920,ji,1,j,0
