arm,pair_id,i,j,order,patient,chosen,picked_i
beta_b060_neutral_factual,66,1050,696,1,1,1,1
beta_b060_neutral_factual,66,1050,696,2,2,2,1
beta_b060_neutral_factual,67,2251,3333,1,1,1,1
beta_b060_neutral_factual,67,2251,3333,2,2,2,1
beta_b060_neutral_factual,68,3405,3655,1,1,1,1
beta_b060_neutral_factual,68,3405,3655,2,2,2,1
beta_b060_neutral_factual,69,148,3232,1,2,2,0
beta_b060_neutral_factual,69,148,3232,2,1,1,0
beta_b060_neutral_factual,70,368,605,1,1,1,1
beta_b060_neutral_factual,70,368,605,2,2,2,1
beta_b060_neutral_factual,71,1036,314,1,1,1,1
beta_b060_neutral_factual,71,1036,314,2,2,2,1
beta_b060_neutral_factual,72,1509,1354,1,1,1,1
beta_b060_neutral_factual,72,1509,1354,2,2,2,1
beta_b060_neutral_factual,73,923,1969,1,1,1,1
beta_b060_neutral_factual,73,923,1969,2,1,1,0
beta_b060_neutral_factual,74,4617,737,1,1,1,1
beta_b060_neutral_factual,74,4617,737,2,2,2,1
beta_b060_neutral_factual,75,695,1446,1,1,1,1
beta_b060_neutral_factual,75,695,1446,2,2,2,1
beta_b060_neutral_factual,76,3801,4236,1,1,1,1
beta_b060_neutral_factual,76,3801,4236,2,2,2,1
beta_b060_neutral_factual,77,3664,4549,1,2,2,0
beta_b060_neutral_factual,77,3664,4549,2,1,1,0
beta_b060_neutral_factual,78,3987,4043,1,1,1,1
beta_b060_neutral_factual,78,3987,4043,2,2,2,1
beta_b060_neutral_factual,79,3593,1072,1,1,1,1
beta_b060_neutral_factual,79,3593,1072,2,1,1,0
beta_b060_neutral_factual,80,4379,1805,1,1,1,1
beta_b060_neutral_factual,80,4379,1805,2,2,2,1
beta_b060_neutral_factual,81,3014,3260,1,1,1,1
beta_b060_neutral_factual,81,3014,3260,2,2,2,1
beta_b060_neutral_factual,82,2825,300,1,1,1,1
beta_b060_neutral_factual,82,2825,300,2,2,2,1
beta_b060_neutral_factual,83,3607,3654,1,1,1,1
beta_b060_neutral_factual,83,3607,3654,2,2,2,1
beta_b060_neutral_factual,84,245,2920,1,2,2,0
beta_b060_neutral_factual,84,245,2920,2,1,1,0
beta_b060_neutral_factual,85,3820,4806,1,1,1,1
beta_b060_neutral_factual,85,3820,4806,2,1,1,0
beta_b060_neutral_factual,86,3389,3921,1,2,2,0
beta_b060_neutral_factual,86,3389,3921,2,2,2,1
beta_b060_neutral_factual,87,3131,4567,1,2,2,0
beta_b060_neutral_factual,87,3131,4567,2,1,1,0
beta_b060_neutral_factual,88,1098,2921,1,1,1,1
beta_b060_neutral_factual,88,1098,2921,2,2,2,1
beta_b060_neutral_factual,89,3041,3828,1,2,2,0
beta_b060_neutral_factual,89,3041,3828,2,1,1,0
beta_b060_neutral_factual,90,2179,3053,1,1,1,1
beta_b060_neutral_factual,90,2179,3053,2,1,1,0
beta_b060_neutral_factual,91,3887,512,1,1,1,1
beta_b060_neutral_factual,91,3887,512,2,2,2,1
beta_b060_neutral_factual,92,3815,4349,1,2,2,0
beta_b060_neutral_factual,92,3815,4349,2,1,1,0
beta_b060_neutral_factual,93,1000,4676,1,1,1,1
beta_b060_neutral_factual,93,1000,4676,2,2,2,1
beta_b060_neutral_factual,94,2031,3148,1,1,1,1
beta_b060_neutral_factual,94,2031,3148,2,2,2,1
beta_b060_neutral_factual,95,1352,222,1,1,1,1
beta_b060_neutral_factual,95,1352,222,2,2,2,1
beta_b060_neutral_factual,96,3953,2797,1,1,1,1
beta_b060_neutral_factual,96,3953,2797,2,2,2,1
beta_b060_neutral_factual,97,4852,1029,1,1,1,1
beta_b060_neutral_factual,97,4852,1029,2,2,2,1
beta_b060_neutral_factual,98,1438,175,1,1,1,1
beta_b060_neutral_factual,98,1438,175,2,2,2,1
beta_b060_neutral_factual,33,2525,3767,1,1,1,1
beta_b060_neutral_factual,33,2525,3767,2,1,1,0
beta_b060_neutral_factual,34,1297,1350,1,1,1,1
beta_b060_neutral_factual,34,1297,1350,2,2,2,1
beta_b060_neutral_factual,35,1677,1221,1,2,2,0
beta_b060_neutral_factual,35,1677,1221,2,1,1,0
beta_b060_neutral_factual,36,2277,728,1,2,2,0
beta_b060_neutral_factual,36,2277,728,2,1,1,0
beta_b060_neutral_factual,37,377,4251,1,2,2,0
beta_b060_neutral_factual,37,377,4251,2,2,2,1
beta_b060_neutral_factual,38,3283,4769,1,2,2,0
beta_b060_neutral_factual,38,3283,4769,2,1,1,0
beta_b060_neutral_factual,39,3110,4548,1,1,1,1
beta_b060_neutral_factual,39,3110,4548,2,2,2,1
beta_b060_neutral_factual,40,1857,2002,1,2,2,0
beta_b060_neutral_factual,40,1857,2002,2,1,1,0
beta_b060_neutral_factual,41,3727,4460,1,1,1,1
beta_b060_neutral_factual,41,3727,4460,2,2,2,1
beta_b060_neutral_factual,42,1166,1558,1,1,1,1
beta_b060_neutral_factual,42,1166,1558,2,2,2,1
beta_b060_neutral_factual,43,2417,1315,1,1,1,1
beta_b060_neutral_factual,43,2417,1315,2,2,2,1
beta_b060_neutral_factual,44,503,4557,1,1,1,1
beta_b060_neutral_factual,44,503,4557,2,1,1,0
beta_b060_neutral_factual,45,4526,2301,1,1,1,1
beta_b060_neutral_factual,45,4526,2301,2,2,2,1
beta_b060_neutral_factual,46,4639,4225,1,1,1,1
beta_b060_neutral_factual,46,4639,4225,2,2,2,1
beta_b060_neutral_factual,47,3573,1027,1,2,2,0
beta_b060_neutral_factual,47,3573,1027,2,1,1,0
beta_b060_neutral_factual,48,3157,1587,1,1,1,1
beta_b060_neutral_factual,48,3157,1587,2,2,2,1
beta_b060_neutral_factual,49,2533,1569,1,2,2,0
beta_b060_neutral_factual,49,2533,1569,2,1,1,0
beta_b060_neutral_factual,50,2526,2945,1,1,1,1
beta_b060_neutral_factual,50,2526,2945,2,2,2,1
beta_b060_neutral_factual,51,1668,2143,1,1,1,1
beta_b060_neutral_factual,51,1668,2143,2,1,1,0
beta_b060_neutral_factual,52,1413,3410,1,2,2,0
beta_b060_neutral_factual,52,1413,3410,2,1,1,0
beta_b060_neutral_factual,53,105,2701,1,2,2,0
beta_b060_neutral_factual,53,105,2701,2,1,1,0
beta_b060_neutral_factual,54,854,1720,1,1,1,1
beta_b060_neutral_factual,54,854,1720,2,2,2,1
beta_b060_neutral_factual,55,1067,880,1,2,2,0
beta_b060_neutral_factual,55,1067,880,2,1,1,0
beta_b060_neutral_factual,56,4576,357,1,1,1,1
beta_b060_neutral_factual,56,4576,357,2,2,2,1
beta_b060_neutral_factual,57,1408,3853,1,2,2,0
beta_b060_neutral_factual,57,1408,3853,2,2,2,1
beta_b060_neutral_factual,58,1449,1973,1,2,2,0
beta_b060_neutral_factual,58,1449,1973,2,1,1,0
beta_b060_neutral_factual,59,781,2920,1,2,2,0
beta_b060_neutral_factual,59,781,2920,2,1,1,0
beta_b060_neutral_factual,60,4949,4466,1,1,1,1
beta_b060_neutral_factual,60,4949,4466,2,2,2,1
beta_b060_neutral_factual,61,3784,4031,1,1,1,1
beta_b060_neutral_factual,61,3784,4031,2,2,2,1
beta_b060_neutral_factual,62,3691,873,1,1,1,1
beta_b060_neutral_factual,62,3691,873,2,1,1,0
beta_b060_neutral_factual,63,4747,3768,1,2,2,0
beta_b060_neutral_factual,63,4747,3768,2,1,1,0
beta_b060_neutral_factual,64,765,2546,1,1,1,1
beta_b060_neutral_factual,64,765,2546,2,1,1,0
beta_b060_neutral_factual,65,4161,4978,1,2,2,0
beta_b060_neutral_factual,65,4161,4978,2,1,1,0
beta_b060_neutral_factual,0,4929,454,1,1,1,1
beta_b060_neutral_factual,0,4929,454,2,2,2,1
beta_b060_neutral_factual,1,2554,3265,1,1,1,1
beta_b060_neutral_factual,1,2554,3265,2,1,1,0
beta_b060_neutral_factual,2,2963,4244,1,1,1,1
beta_b060_neutral_factual,2,2963,4244,2,2,2,1
beta_b060_neutral_factual,3,3499,4625,1,2,2,0
beta_b060_neutral_factual,3,3499,4625,2,1,1,0
beta_b060_neutral_factual,4,3051,2991,1,1,1,1
beta_b060_neutral_factual,4,3051,2991,2,2,2,1
beta_b060_neutral_factual,5,894,4316,1,1,1,1
beta_b060_neutral_factual,5,894,4316,2,1,1,0
beta_b060_neutral_factual,6,4734,961,1,1,1,1
beta_b060_neutral_factual,6,4734,961,2,2,2,1
beta_b060_neutral_factual,7,62,2438,1,2,2,0
beta_b060_neutral_factual,7,62,2438,2,1,1,0
beta_b060_neutral_factual,8,3833,1351,1,1,1,1
beta_b060_neutral_factual,8,3833,1351,2,2,2,1
beta_b060_neutral_factual,9,4238,1539,1,2,2,0
beta_b060_neutral_factual,9,4238,1539,2,1,1,0
beta_b060_neutral_factual,10,312,657,1,1,1,1
beta_b060_neutral_factual,10,312,657,2,2,2,1
beta_b060_neutral_factual,11,786,2548,1,1,1,1
beta_b060_neutral_factual,11,786,2548,2,2,2,1
beta_b060_neutral_factual,12,4921,1970,1,2,2,0
beta_b060_neutral_factual,12,4921,1970,2,1,1,0
beta_b060_neutral_factual,13,2441,2313,1,2,2,0
beta_b060_neutral_factual,13,2441,2313,2,1,1,0
beta_b060_neutral_factual,14,2411,1014,1,1,1,1
beta_b060_neutral_factual,14,2411,1014,2,1,1,0
beta_b060_neutral_factual,15,2201,4105,1,1,1,1
beta_b060_neutral_factual,15,2201,4105,2,2,2,1
beta_b060_neutral_factual,16,2963,4093,1,1,1,1
beta_b060_neutral_factual,16,2963,4093,2,1,1,0
beta_b060_neutral_factual,17,2813,901,1,1,1,1
beta_b060_neutral_factual,17,2813,901,2,1,1,0
beta_b060_neutral_factual,18,4952,2177,1,1,1,1
beta_b060_neutral_factual,18,4952,2177,2,2,2,1
beta_b060_neutral_factual,19,2787,665,1,1,1,1
beta_b060_neutral_factual,19,2787,665,2,2,2,1
beta_b060_neutral_factual,20,447,546,1,2,2,0
beta_b060_neutral_factual,20,447,546,2,2,2,1
beta_b060_neutral_factual,21,3257,3479,1,1,1,1
beta_b060_neutral_factual,21,3257,3479,2,2,2,1
beta_b060_neutral_factual,22,1563,3293,1,1,1,1
beta_b060_neutral_factual,22,1563,3293,2,2,2,1
beta_b060_neutral_factual,23,3636,1253,1,1,1,1
beta_b060_neutral_factual,23,3636,1253,2,2,2,1
beta_b060_neutral_factual,24,1533,3021,1,1,1,1
beta_b060_neutral_factual,24,1533,3021,2,2,2,1
beta_b060_neutral_factual,25,1016,667,1,2,2,0
beta_b060_neutral_factual,25,1016,667,2,1,1,0
beta_b060_neutral_factual,26,2900,2655,1,1,1,1
beta_b060_neutral_factual,26,2900,2655,2,2,2,1
beta_b060_neutral_factual,27,4274,3353,1,2,2,0
beta_b060_neutral_factual,27,4274,3353,2,1,1,0
beta_b060_neutral_factual,28,928,1390,1,1,1,1
beta_b060_neutral_factual,28,928,1390,2,2,2,1
beta_b060_neutral_factual,29,1179,1235,1,1,1,1
beta_b060_neutral_factual,29,1179,1235,2,2,2,1
beta_b060_neutral_factual,30,587,16,1,2,2,0
beta_b060_neutral_factual,30,587,16,2,1,1,0
beta_b060_neutral_factual,31,2557,2233,1,1,1,1
beta_b060_neutral_factual,31,2557,2233,2,2,2,1
beta_b060_neutral_factual,32,2508,1807,1,1,1,1
beta_b060_neutral_factual,32,2508,1807,2,2,2,1
