arm,pair_id,i,j,order,patient,chosen,picked_i
cf_a0,66,1050,696,0,2.0,696.0,0.0
cf_a0,66,1050,696,1,1.0,696.0,0.0
cf_a0,67,2251,3333,0,1.0,2251.0,1.0
cf_a0,67,2251,3333,1,1.0,3333.0,0.0
cf_a0,68,3405,3655,0,1.0,3405.0,1.0
cf_a0,68,3405,3655,1,1.0,3655.0,0.0
cf_a0,69,148,3232,0,2.0,3232.0,0.0
cf_a0,69,148,3232,1,1.0,3232.0,0.0
cf_a0,70,368,605,0,1.0,368.0,1.0
cf_a0,70,368,605,1,,,
cf_a0,71,1036,314,0,1.0,1036.0,1.0
cf_a0,71,1036,314,1,1.0,314.0,0.0
cf_a0,72,1509,1354,0,1.0,1509.0,1.0
cf_a0,72,1509,1354,1,2.0,1509.0,1.0
cf_a0,73,923,1969,0,2.0,1969.0,0.0
cf_a0,73,923,1969,1,1.0,1969.0,0.0
cf_a0,74,4617,737,0,1.0,4617.0,1.0
cf_a0,74,4617,737,1,2.0,4617.0,1.0
cf_a0,75,695,1446,0,1.0,695.0,1.0
cf_a0,75,695,1446,1,2.0,695.0,1.0
cf_a0,76,3801,4236,0,1.0,3801.0,1.0
cf_a0,76,3801,4236,1,2.0,3801.0,1.0
cf_a0,77,3664,4549,0,2.0,4549.0,0.0
cf_a0,77,3664,4549,1,1.0,4549.0,0.0
cf_a0,78,3987,4043,0,1.0,3987.0,1.0
cf_a0,78,3987,4043,1,2.0,3987.0,1.0
cf_a0,79,3593,1072,0,2.0,1072.0,0.0
cf_a0,79,3593,1072,1,1.0,1072.0,0.0
cf_a0,80,4379,1805,0,1.0,4379.0,1.0
cf_a0,80,4379,1805,1,2.0,4379.0,1.0
cf_a0,81,3014,3260,0,1.0,3014.0,1.0
cf_a0,81,3014,3260,1,2.0,3014.0,1.0
cf_a0,82,2825,300,0,1.0,2825.0,1.0
cf_a0,82,2825,300,1,2.0,2825.0,1.0
cf_a0,83,3607,3654,0,,,
cf_a0,83,3607,3654,1,1.0,3654.0,0.0
cf_a0,84,245,2920,0,2.0,2920.0,0.0
cf_a0,84,245,2920,1,1.0,2920.0,0.0
cf_a0,85,3820,4806,0,2.0,4806.0,0.0
cf_a0,85,3820,4806,1,2.0,3820.0,1.0
cf_a0,86,3389,3921,0,2.0,3921.0,0.0
cf_a0,86,3389,3921,1,1.0,3921.0,0.0
cf_a0,87,3131,4567,0,1.0,3131.0,1.0
cf_a0,87,3131,4567,1,1.0,4567.0,0.0
cf_a0,88,1098,2921,0,2.0,2921.0,0.0
cf_a0,88,1098,2921,1,2.0,1098.0,1.0
cf_a0,89,3041,3828,0,1.0,3041.0,1.0
cf_a0,89,3041,3828,1,1.0,3828.0,0.0
cf_a0,90,2179,3053,0,1.0,2179.0,1.0
cf_a0,90,2179,3053,1,2.0,2179.0,1.0
cf_a0,91,3887,512,0,1.0,3887.0,1.0
cf_a0,91,3887,512,1,2.0,3887.0,1.0
cf_a0,92,3815,4349,0,1.0,3815.0,1.0
cf_a0,92,3815,4349,1,1.0,4349.0,0.0
cf_a0,93,1000,4676,0,1.0,1000.0,1.0
cf_a0,93,1000,4676,1,2.0,1000.0,1.0
cf_a0,94,2031,3148,0,1.0,2031.0,1.0
cf_a0,94,2031,3148,1,2.0,2031.0,1.0
cf_a0,95,1352,222,0,1.0,1352.0,1.0
cf_a0,95,1352,222,1,2.0,1352.0,1.0
cf_a0,96,3953,2797,0,1.0,3953.0,1.0
cf_a0,96,3953,2797,1,1.0,2797.0,0.0
cf_a0,97,4852,1029,0,1.0,4852.0,1.0
cf_a0,97,4852,1029,1,2.0,4852.0,1.0
cf_a0,98,1438,175,0,1.0,1438.0,1.0
cf_a0,98,1438,175,1,2.0,1438.0,1.0
cf_a0,33,2525,3767,0,2.0,3767.0,0.0
cf_a0,33,2525,3767,1,1.0,3767.0,0.0
cf_a0,34,1297,1350,0,1.0,1297.0,1.0
cf_a0,34,1297,1350,1,2.0,1297.0,1.0
cf_a0,35,1677,1221,0,2.0,1221.0,0.0
cf_a0,35,1677,1221,1,1.0,1221.0,0.0
cf_a0,36,2277,728,0,2.0,728.0,0.0
cf_a0,36,2277,728,1,1.0,728.0,0.0
cf_a0,37,377,4251,0,1.0,377.0,1.0
cf_a0,37,377,4251,1,2.0,377.0,1.0
cf_a0,38,3283,4769,0,2.0,4769.0,0.0
cf_a0,38,3283,4769,1,1.0,4769.0,0.0
cf_a0,39,3110,4548,0,2.0,4548.0,0.0
cf_a0,39,3110,4548,1,2.0,3110.0,1.0
cf_a0,40,1857,2002,0,1.0,1857.0,1.0
cf_a0,40,1857,2002,1,1.0,2002.0,0.0
cf_a0,41,3727,4460,0,1.0,3727.0,1.0
cf_a0,41,3727,4460,1,2.0,3727.0,1.0
cf_a0,42,1166,1558,0,1.0,1166.0,1.0
cf_a0,42,1166,1558,1,2.0,1166.0,1.0
cf_a0,43,2417,1315,0,1.0,2417.0,1.0
cf_a0,43,2417,1315,1,1.0,1315.0,0.0
cf_a0,44,503,4557,0,1.0,503.0,1.0
cf_a0,44,503,4557,1,1.0,4557.0,0.0
cf_a0,45,4526,2301,0,2.0,2301.0,0.0
cf_a0,45,4526,2301,1,2.0,4526.0,1.0
cf_a0,46,4639,4225,0,1.0,4639.0,1.0
cf_a0,46,4639,4225,1,2.0,4639.0,1.0
cf_a0,47,3573,1027,0,2.0,1027.0,0.0
cf_a0,47,3573,1027,1,1.0,1027.0,0.0
cf_a0,48,3157,1587,0,1.0,3157.0,1.0
cf_a0,48,3157,1587,1,1.0,1587.0,0.0
cf_a0,49,2533,1569,0,1.0,2533.0,1.0
cf_a0,49,2533,1569,1,1.0,1569.0,0.0
cf_a0,50,2526,2945,0,1.0,2526.0,1.0
cf_a0,50,2526,2945,1,2.0,2526.0,1.0
cf_a0,51,1668,2143,0,1.0,1668.0,1.0
cf_a0,51,1668,2143,1,,,
cf_a0,52,1413,3410,0,1.0,1413.0,1.0
cf_a0,52,1413,3410,1,1.0,3410.0,0.0
cf_a0,53,105,2701,0,2.0,2701.0,0.0
cf_a0,53,105,2701,1,1.0,2701.0,0.0
cf_a0,54,854,1720,0,1.0,854.0,1.0
cf_a0,54,854,1720,1,1.0,1720.0,0.0
cf_a0,55,1067,880,0,2.0,880.0,0.0
cf_a0,55,1067,880,1,1.0,880.0,0.0
cf_a0,56,4576,357,0,1.0,4576.0,1.0
cf_a0,56,4576,357,1,2.0,4576.0,1.0
cf_a0,57,1408,3853,0,1.0,1408.0,1.0
cf_a0,57,1408,3853,1,2.0,1408.0,1.0
cf_a0,58,1449,1973,0,2.0,1973.0,0.0
cf_a0,58,1449,1973,1,1.0,1973.0,0.0
cf_a0,59,781,2920,0,2.0,2920.0,0.0
cf_a0,59,781,2920,1,1.0,2920.0,0.0
cf_a0,60,4949,4466,0,1.0,4949.0,1.0
cf_a0,60,4949,4466,1,2.0,4949.0,1.0
cf_a0,61,3784,4031,0,2.0,4031.0,0.0
cf_a0,61,3784,4031,1,1.0,4031.0,0.0
cf_a0,62,3691,873,0,2.0,873.0,0.0
cf_a0,62,3691,873,1,1.0,873.0,0.0
cf_a0,63,4747,3768,0,1.0,4747.0,1.0
cf_a0,63,4747,3768,1,1.0,3768.0,0.0
cf_a0,64,765,2546,0,1.0,765.0,1.0
cf_a0,64,765,2546,1,2.0,765.0,1.0
cf_a0,65,4161,4978,0,2.0,4978.0,0.0
cf_a0,65,4161,4978,1,1.0,4978.0,0.0
cf_a0,0,4929,454,0,1.0,4929.0,1.0
cf_a0,0,4929,454,1,2.0,4929.0,1.0
cf_a0,1,2554,3265,0,1.0,2554.0,1.0
cf_a0,1,2554,3265,1,1.0,3265.0,0.0
cf_a0,2,2963,4244,0,2.0,4244.0,0.0
cf_a0,2,2963,4244,1,2.0,2963.0,1.0
cf_a0,3,3499,4625,0,2.0,4625.0,0.0
cf_a0,3,3499,4625,1,2.0,3499.0,1.0
cf_a0,4,3051,2991,0,1.0,3051.0,1.0
cf_a0,4,3051,2991,1,1.0,2991.0,0.0
cf_a0,5,894,4316,0,1.0,894.0,1.0
cf_a0,5,894,4316,1,2.0,894.0,1.0
cf_a0,6,4734,961,0,1.0,4734.0,1.0
cf_a0,6,4734,961,1,2.0,4734.0,1.0
cf_a0,7,62,2438,0,1.0,62.0,1.0
cf_a0,7,62,2438,1,1.0,2438.0,0.0
cf_a0,8,3833,1351,0,1.0,3833.0,1.0
cf_a0,8,3833,1351,1,2.0,3833.0,1.0
cf_a0,9,4238,1539,0,2.0,1539.0,0.0
cf_a0,9,4238,1539,1,1.0,1539.0,0.0
cf_a0,10,312,657,0,2.0,657.0,0.0
cf_a0,10,312,657,1,2.0,312.0,1.0
cf_a0,11,786,2548,0,1.0,786.0,1.0
cf_a0,11,786,2548,1,2.0,786.0,1.0
cf_a0,12,4921,1970,0,2.0,1970.0,0.0
cf_a0,12,4921,1970,1,1.0,1970.0,0.0
cf_a0,13,2441,2313,0,2.0,2313.0,0.0
cf_a0,13,2441,2313,1,1.0,2313.0,0.0
cf_a0,14,2411,1014,0,2.0,1014.0,0.0
cf_a0,14,2411,1014,1,1.0,1014.0,0.0
cf_a0,15,2201,4105,0,1.0,2201.0,1.0
cf_a0,15,2201,4105,1,2.0,2201.0,1.0
cf_a0,16,2963,4093,0,1.0,2963.0,1.0
cf_a0,16,2963,4093,1,2.0,2963.0,1.0
cf_a0,17,2813,901,0,2.0,901.0,0.0
cf_a0,17,2813,901,1,2.0,2813.0,1.0
cf_a0,18,4952,2177,0,1.0,4952.0,1.0
cf_a0,18,4952,2177,1,2.0,4952.0,1.0
cf_a0,19,2787,665,0,2.0,665.0,0.0
cf_a0,19,2787,665,1,2.0,2787.0,1.0
cf_a0,20,447,546,0,1.0,447.0,1.0
cf_a0,20,447,546,1,2.0,447.0,1.0
cf_a0,21,3257,3479,0,1.0,3257.0,1.0
cf_a0,21,3257,3479,1,2.0,3257.0,1.0
cf_a0,22,1563,3293,0,1.0,1563.0,1.0
cf_a0,22,1563,3293,1,2.0,1563.0,1.0
cf_a0,23,3636,1253,0,1.0,3636.0,1.0
cf_a0,23,3636,1253,1,1.0,1253.0,0.0
cf_a0,24,1533,3021,0,2.0,3021.0,0.0
cf_a0,24,1533,3021,1,1.0,3021.0,0.0
cf_a0,25,1016,667,0,2.0,667.0,0.0
cf_a0,25,1016,667,1,2.0,1016.0,1.0
cf_a0,26,2900,2655,0,1.0,2900.0,1.0
cf_a0,26,2900,2655,1,2.0,2900.0,1.0
cf_a0,27,4274,3353,0,2.0,3353.0,0.0
cf_a0,27,4274,3353,1,1.0,3353.0,0.0
cf_a0,28,928,1390,0,2.0,1390.0,0.0
cf_a0,28,928,1390,1,2.0,928.0,1.0
cf_a0,29,1179,1235,0,1.0,1179.0,1.0
cf_a0,29,1179,1235,1,2.0,1179.0,1.0
cf_a0,30,587,16,0,2.0,16.0,0.0
cf_a0,30,587,16,1,2.0,587.0,1.0
cf_a0,31,2557,2233,0,1.0,2557.0,1.0
cf_a0,31,2557,2233,1,1.0,2233.0,0.0
cf_a0,32,2508,1807,0,1.0,2508.0,1.0
cf_a0,32,2508,1807,1,2.0,2508.0,1.0
