arm,pair_id,i,j,order,patient,chosen,picked_i
cf_a0,66,3263,4401,0,1.0,3263,1
cf_a0,66,3263,4401,1,2.0,3263,1
cf_a0,67,696,1050,0,1.0,696,1
cf_a0,67,696,1050,1,2.0,696,1
cf_a0,68,4210,406,0,1.0,4210,1
cf_a0,68,4210,406,1,2.0,4210,1
cf_a0,69,4244,2963,0,1.0,4244,1
cf_a0,69,4244,2963,1,2.0,4244,1
cf_a0,70,1969,923,0,1.0,1969,1
cf_a0,70,1969,923,1,2.0,1969,1
cf_a0,71,4460,3727,0,2.0,3727,0
cf_a0,71,4460,3727,1,2.0,4460,1
cf_a0,72,4706,3194,0,1.0,4706,1
cf_a0,72,4706,3194,1,2.0,4706,1
cf_a0,73,3306,2500,0,2.0,2500,0
cf_a0,73,3306,2500,1,2.0,3306,1
cf_a0,74,3410,1413,0,1.0,3410,1
cf_a0,74,3410,1413,1,2.0,3410,1
cf_a0,75,300,2825,0,1.0,300,1
cf_a0,75,300,2825,1,2.0,300,1
cf_a0,76,1067,880,0,1.0,1067,1
cf_a0,76,1067,880,1,2.0,1067,1
cf_a0,77,442,3394,0,1.0,442,1
cf_a0,77,442,3394,1,2.0,442,1
cf_a0,78,620,4605,0,1.0,620,1
cf_a0,78,620,4605,1,2.0,620,1
cf_a0,79,613,1406,0,1.0,613,1
cf_a0,79,613,1406,1,2.0,613,1
cf_a0,80,560,4299,0,1.0,560,1
cf_a0,80,560,4299,1,2.0,560,1
cf_a0,81,657,312,0,1.0,657,1
cf_a0,81,657,312,1,1.0,312,0
cf_a0,82,4778,4201,0,1.0,4778,1
cf_a0,82,4778,4201,1,2.0,4778,1
cf_a0,83,1503,4906,0,2.0,4906,0
cf_a0,83,1503,4906,1,2.0,1503,1
cf_a0,84,4921,1970,0,1.0,4921,1
cf_a0,84,4921,1970,1,2.0,4921,1
cf_a0,85,1064,3664,0,1.0,1064,1
cf_a0,85,1064,3664,1,2.0,1064,1
cf_a0,86,4125,2004,0,1.0,4125,1
cf_a0,86,4125,2004,1,,,
cf_a0,87,2411,1014,0,1.0,2411,1
cf_a0,87,2411,1014,1,2.0,2411,1
cf_a0,88,850,229,0,1.0,850,1
cf_a0,88,850,229,1,2.0,850,1
cf_a0,89,665,2787,0,1.0,665,1
cf_a0,89,665,2787,1,2.0,665,1
cf_a0,90,1268,3614,0,1.0,1268,1
cf_a0,90,1268,3614,1,2.0,1268,1
cf_a0,91,3666,2697,0,1.0,3666,1
cf_a0,91,3666,2697,1,2.0,3666,1
cf_a0,92,995,2154,0,1.0,995,1
cf_a0,92,995,2154,1,1.0,2154,0
cf_a0,93,1360,2909,0,1.0,1360,1
cf_a0,93,1360,2909,1,2.0,1360,1
cf_a0,94,377,2060,0,1.0,377,1
cf_a0,94,377,2060,1,2.0,377,1
cf_a0,95,1789,3650,0,1.0,1789,1
cf_a0,95,1789,3650,1,2.0,1789,1
cf_a0,96,4742,4552,0,1.0,4742,1
cf_a0,96,4742,4552,1,2.0,4742,1
cf_a0,97,397,4294,0,2.0,4294,0
cf_a0,97,397,4294,1,2.0,397,1
cf_a0,98,352,1298,0,2.0,1298,0
cf_a0,98,352,1298,1,2.0,352,1
cf_a0,33,1350,1297,0,1.0,1350,1
cf_a0,33,1350,1297,1,2.0,1350,1
cf_a0,34,84,4107,0,1.0,84,1
cf_a0,34,84,4107,1,2.0,84,1
cf_a0,35,314,1036,0,1.0,314,1
cf_a0,35,314,1036,1,2.0,314,1
cf_a0,36,4229,432,0,1.0,4229,1
cf_a0,36,4229,432,1,2.0,4229,1
cf_a0,37,3283,4769,0,1.0,3283,1
cf_a0,37,3283,4769,1,2.0,3283,1
cf_a0,38,737,4617,0,1.0,737,1
cf_a0,38,737,4617,1,1.0,4617,0
cf_a0,39,2002,1857,0,1.0,2002,1
cf_a0,39,2002,1857,1,2.0,2002,1
cf_a0,40,4086,2088,0,1.0,4086,1
cf_a0,40,4086,2088,1,2.0,4086,1
