arm,pair_id,i,j,order,patient,chosen,picked_i
cf_a1,66,3263,4401,0,1.0,3263.0,1.0
cf_a1,66,3263,4401,1,2.0,3263.0,1.0
cf_a1,67,696,1050,0,1.0,696.0,1.0
cf_a1,67,696,1050,1,2.0,696.0,1.0
cf_a1,68,4210,406,0,1.0,4210.0,1.0
cf_a1,68,4210,406,1,1.0,406.0,0.0
cf_a1,69,4244,2963,0,1.0,4244.0,1.0
cf_a1,69,4244,2963,1,2.0,4244.0,1.0
cf_a1,70,1969,923,0,1.0,1969.0,1.0
cf_a1,70,1969,923,1,1.0,923.0,0.0
cf_a1,71,4460,3727,0,1.0,4460.0,1.0
cf_a1,71,4460,3727,1,1.0,3727.0,0.0
cf_a1,72,4706,3194,0,1.0,4706.0,1.0
cf_a1,72,4706,3194,1,2.0,4706.0,1.0
cf_a1,73,3306,2500,0,1.0,3306.0,1.0
cf_a1,73,3306,2500,1,2.0,3306.0,1.0
cf_a1,74,3410,1413,0,1.0,3410.0,1.0
cf_a1,74,3410,1413,1,2.0,3410.0,1.0
cf_a1,75,300,2825,0,1.0,300.0,1.0
cf_a1,75,300,2825,1,2.0,300.0,1.0
cf_a1,76,1067,880,0,1.0,1067.0,1.0
cf_a1,76,1067,880,1,1.0,880.0,0.0
cf_a1,77,442,3394,0,1.0,442.0,1.0
cf_a1,77,442,3394,1,2.0,442.0,1.0
cf_a1,78,620,4605,0,1.0,620.0,1.0
cf_a1,78,620,4605,1,1.0,4605.0,0.0
cf_a1,79,613,1406,0,1.0,613.0,1.0
cf_a1,79,613,1406,1,1.0,1406.0,0.0
cf_a1,80,560,4299,0,1.0,560.0,1.0
cf_a1,80,560,4299,1,2.0,560.0,1.0
cf_a1,81,657,312,0,1.0,657.0,1.0
cf_a1,81,657,312,1,2.0,657.0,1.0
cf_a1,82,4778,4201,0,1.0,4778.0,1.0
cf_a1,82,4778,4201,1,1.0,4201.0,0.0
cf_a1,83,1503,4906,0,1.0,1503.0,1.0
cf_a1,83,1503,4906,1,1.0,4906.0,0.0
cf_a1,84,4921,1970,0,1.0,4921.0,1.0
cf_a1,84,4921,1970,1,,,
cf_a1,85,1064,3664,0,2.0,3664.0,0.0
cf_a1,85,1064,3664,1,2.0,1064.0,1.0
cf_a1,86,4125,2004,0,1.0,4125.0,1.0
cf_a1,86,4125,2004,1,1.0,2004.0,0.0
cf_a1,87,2411,1014,0,1.0,2411.0,1.0
cf_a1,87,2411,1014,1,2.0,2411.0,1.0
cf_a1,88,850,229,0,1.0,850.0,1.0
cf_a1,88,850,229,1,2.0,850.0,1.0
cf_a1,89,665,2787,0,1.0,665.0,1.0
cf_a1,89,665,2787,1,2.0,665.0,1.0
cf_a1,90,1268,3614,0,1.0,1268.0,1.0
cf_a1,90,1268,3614,1,2.0,1268.0,1.0
cf_a1,91,3666,2697,0,,,
cf_a1,91,3666,2697,1,2.0,3666.0,1.0
cf_a1,92,995,2154,0,1.0,995.0,1.0
cf_a1,92,995,2154,1,2.0,995.0,1.0
cf_a1,93,1360,2909,0,1.0,1360.0,1.0
cf_a1,93,1360,2909,1,2.0,1360.0,1.0
cf_a1,94,377,2060,0,2.0,2060.0,0.0
cf_a1,94,377,2060,1,1.0,2060.0,0.0
cf_a1,95,1789,3650,0,1.0,1789.0,1.0
cf_a1,95,1789,3650,1,2.0,1789.0,1.0
cf_a1,96,4742,4552,0,1.0,4742.0,1.0
cf_a1,96,4742,4552,1,2.0,4742.0,1.0
cf_a1,97,397,4294,0,1.0,397.0,1.0
cf_a1,97,397,4294,1,2.0,397.0,1.0
cf_a1,98,352,1298,0,2.0,1298.0,0.0
cf_a1,98,352,1298,1,1.0,1298.0,0.0
cf_a1,33,1350,1297,0,1.0,1350.0,1.0
cf_a1,33,1350,1297,1,1.0,1297.0,0.0
cf_a1,34,84,4107,0,1.0,84.0,1.0
cf_a1,34,84,4107,1,2.0,84.0,1.0
cf_a1,35,314,1036,0,1.0,314.0,1.0
cf_a1,35,314,1036,1,2.0,314.0,1.0
cf_a1,36,4229,432,0,1.0,4229.0,1.0
cf_a1,36,4229,432,1,1.0,432.0,0.0
cf_a1,37,3283,4769,0,1.0,3283.0,1.0
cf_a1,37,3283,4769,1,2.0,3283.0,1.0
cf_a1,38,737,4617,0,1.0,737.0,1.0
cf_a1,38,737,4617,1,2.0,737.0,1.0
cf_a1,39,2002,1857,0,1.0,2002.0,1.0
cf_a1,39,2002,1857,1,1.0,1857.0,0.0
cf_a1,40,4086,2088,0,1.0,4086.0,1.0
cf_a1,40,4086,2088,1,2.0,4086.0,1.0
cf_a1,41,4316,894,0,1.0,4316.0,1.0
cf_a1,41,4316,894,1,1.0,894.0,0.0
cf_a1,42,4526,2301,0,1.0,4526.0,1.0
cf_a1,42,4526,2301,1,2.0,4526.0,1.0
cf_a1,43,4225,4639,0,1.0,4225.0,1.0
cf_a1,43,4225,4639,1,2.0,4225.0,1.0
