arm,pair_id,i,j,order,patient,chosen,picked_i
factual,66,3263,4401,0,1,3263,1
factual,66,3263,4401,1,2,3263,1
factual,67,696,1050,0,1,696,1
factual,67,696,1050,1,2,696,1
factual,68,4210,406,0,1,4210,1
factual,68,4210,406,1,2,4210,1
factual,69,4244,2963,0,1,4244,1
factual,69,4244,2963,1,2,4244,1
factual,70,1969,923,0,1,1969,1
factual,70,1969,923,1,2,1969,1
factual,71,4460,3727,0,1,4460,1
factual,71,4460,3727,1,2,4460,1
factual,72,4706,3194,0,1,4706,1
factual,72,4706,3194,1,2,4706,1
factual,73,3306,2500,0,1,3306,1
factual,73,3306,2500,1,2,3306,1
factual,74,3410,1413,0,1,3410,1
factual,74,3410,1413,1,2,3410,1
factual,75,300,2825,0,1,300,1
factual,75,300,2825,1,2,300,1
factual,76,1067,880,0,1,1067,1
factual,76,1067,880,1,2,1067,1
factual,77,442,3394,0,1,442,1
factual,77,442,3394,1,2,442,1
factual,78,620,4605,0,1,620,1
factual,78,620,4605,1,2,620,1
factual,79,613,1406,0,1,613,1
factual,79,613,1406,1,2,613,1
factual,80,560,4299,0,1,560,1
factual,80,560,4299,1,2,560,1
factual,81,657,312,0,1,657,1
factual,81,657,312,1,2,657,1
factual,82,4778,4201,0,1,4778,1
factual,82,4778,4201,1,1,4201,0
factual,83,1503,4906,0,1,1503,1
factual,83,1503,4906,1,1,4906,0
factual,84,4921,1970,0,1,4921,1
factual,84,4921,1970,1,,,
factual,85,1064,3664,0,1,1064,1
factual,85,1064,3664,1,2,1064,1
factual,86,4125,2004,0,1,4125,1
factual,86,4125,2004,1,2,4125,1
factual,87,2411,1014,0,1,2411,1
factual,87,2411,1014,1,2,2411,1
factual,88,850,229,0,1,850,1
factual,88,850,229,1,2,850,1
factual,89,665,2787,0,1,665,1
factual,89,665,2787,1,2,665,1
factual,90,1268,3614,0,1,1268,1
factual,90,1268,3614,1,2,1268,1
factual,91,3666,2697,0,1,3666,1
factual,91,3666,2697,1,2,3666,1
factual,92,995,2154,0,2,2154,0
factual,92,995,2154,1,1,2154,0
factual,93,1360,2909,0,1,1360,1
factual,93,1360,2909,1,,,
factual,94,377,2060,0,1,377,1
