arm,pair_id,i,j,order,patient,chosen,picked_i
factual,66,3929,1806,0,2,1806,0
factual,66,3929,1806,1,1,1806,0
factual,67,3263,4401,0,1,3263,1
factual,67,3263,4401,1,2,3263,1
factual,68,1350,1297,0,1,1350,1
factual,68,1350,1297,1,2,1350,1
factual,69,4251,377,0,1,4251,1
factual,69,4251,377,1,2,4251,1
factual,70,454,4929,0,2,4929,0
factual,70,454,4929,1,1,4929,0
factual,71,4244,2963,0,1,4244,1
factual,71,4244,2963,1,2,4244,1
factual,72,4316,894,0,1,4316,1
factual,72,4316,894,1,2,4316,1
factual,73,1571,2321,0,1,1571,1
factual,73,1571,2321,1,2,1571,1
factual,74,1143,1229,0,1,1143,1
factual,74,1143,1229,1,2,1143,1
factual,75,1622,654,0,1,1622,1
factual,75,1622,654,1,1,654,0
factual,76,1072,3593,0,1,1072,1
factual,76,1072,3593,1,2,1072,1
factual,77,1805,4379,0,1,1805,1
factual,77,1805,4379,1,1,4379,0
factual,78,300,2825,0,1,300,1
factual,78,300,2825,1,2,300,1
factual,79,3607,3654,0,1,3607,1
factual,79,3607,3654,1,2,3607,1
factual,80,2920,245,0,1,2920,1
factual,80,2920,245,1,2,2920,1
factual,81,620,4605,0,1,620,1
factual,81,620,4605,1,2,620,1
factual,82,560,4299,0,1,560,1
factual,82,560,4299,1,2,560,1
factual,83,1351,3833,0,2,3833,0
factual,83,1351,3833,1,1,3833,0
factual,84,4480,3585,0,1,4480,1
factual,84,4480,3585,1,2,4480,1
factual,85,1539,4238,0,1,1539,1
factual,85,1539,4238,1,2,1539,1
factual,86,4949,4466,0,1,4949,1
factual,86,4949,4466,1,2,4949,1
factual,87,3784,4031,0,2,4031,0
factual,87,3784,4031,1,1,4031,0
factual,88,3689,1549,0,1,3689,1
factual,88,3689,1549,1,2,3689,1
factual,89,873,3691,0,1,873,1
factual,89,873,3691,1,2,873,1
factual,90,2849,2015,0,2,2015,0
factual,90,2849,2015,1,1,2015,0
factual,91,4655,161,0,1,4655,1
factual,91,4655,161,1,2,4655,1
factual,92,4101,3543,0,1,4101,1
factual,92,4101,3543,1,2,4101,1
factual,93,4641,846,0,1,4641,1
factual,93,4641,846,1,2,4641,1
factual,94,1726,4207,0,2,4207,0
factual,94,1726,4207,1,1,4207,0
factual,95,4125,2004,0,1,4125,1
factual,95,4125,2004,1,2,4125,1
factual,96,2319,3651,0,1,2319,1
factual,96,2319,3651,1,2,2319,1
factual,97,1084,3355,0,1,1084,1
factual,97,1084,3355,1,2,1084,1
factual,98,3500,775,0,1,3500,1
factual,98,3500,775,1,2,3500,1
factual,33,1335,4290,0,1,1335,1
factual,33,1335,4290,1,1,4290,0
factual,34,3767,2525,0,1,3767,1
factual,34,3767,2525,1,2,3767,1
factual,35,706,504,0,1,706,1
factual,35,706,504,1,2,706,1
factual,36,3834,1727,0,2,1727,0
factual,36,3834,1727,1,1,1727,0
factual,37,2277,728,0,2,728,0
factual,37,2277,728,1,1,728,0
factual,38,84,4107,0,1,84,1
factual,38,84,4107,1,2,84,1
factual,39,3333,2251,0,1,3333,1
factual,39,3333,2251,1,2,3333,1
factual,40,4439,905,0,1,4439,1
factual,40,4439,905,1,2,4439,1
factual,41,148,3232,0,2,3232,0
factual,41,148,3232,1,1,3232,0
factual,42,2303,1255,0,1,2303,1
factual,42,2303,1255,1,2,2303,1
factual,43,314,1036,0,1,314,1
factual,43,314,1036,1,2,314,1
factual,44,4229,432,0,1,4229,1
factual,44,4229,432,1,1,432,0
factual,45,3499,4625,0,1,3499,1
factual,45,3499,4625,1,2,3499,1
factual,46,695,1446,0,1,695,1
factual,46,695,1446,1,2,695,1
factual,47,1646,2039,0,1,1646,1
factual,47,1646,2039,1,2,1646,1
factual,48,4086,2088,0,1,4086,1
factual,48,4086,2088,1,2,4086,1
factual,49,1558,1166,0,1,1558,1
factual,49,1558,1166,1,2,1558,1
factual,50,503,4557,0,2,4557,0
factual,50,503,4557,1,1,4557,0
factual,51,4526,2301,0,1,4526,1
factual,51,4526,2301,1,2,4526,1
factual,52,4225,4639,0,2,4639,0
factual,52,4225,4639,1,1,4639,0
factual,53,847,4314,0,2,4314,0
factual,53,847,4314,1,1,4314,0
factual,54,2834,1745,0,1,2834,1
factual,54,2834,1745,1,2,2834,1
factual,55,1778,2478,0,1,1778,1
factual,55,1778,2478,1,2,1778,1
factual,56,2319,4688,0,1,2319,1
factual,56,2319,4688,1,2,2319,1
factual,57,4217,61,0,1,4217,1
factual,57,4217,61,1,2,4217,1
factual,58,3484,2511,0,1,3484,1
factual,58,3484,2511,1,2,3484,1
factual,59,3389,3921,0,1,3389,1
factual,59,3389,3921,1,1,3921,0
factual,60,3828,3041,0,1,3828,1
factual,60,3828,3041,1,2,3828,1
factual,61,657,312,0,1,657,1
factual,61,657,312,1,2,657,1
factual,62,2080,913,0,1,2080,1
