arm,pair_id,i,j,order,patient,chosen,picked_i
cf_a0,66,3929,1806,0,1,3929,1
cf_a0,66,3929,1806,1,2,3929,1
cf_a0,67,3263,4401,0,1,3263,1
cf_a0,67,3263,4401,1,2,3263,1
cf_a0,68,1350,1297,0,1,1350,1
cf_a0,68,1350,1297,1,2,1350,1
cf_a0,69,4251,377,0,1,4251,1
cf_a0,69,4251,377,1,2,4251,1
cf_a0,70,454,4929,0,1,454,1
cf_a0,70,454,4929,1,1,4929,0
cf_a0,71,4244,2963,0,1,4244,1
cf_a0,71,4244,2963,1,2,4244,1
cf_a0,72,4316,894,0,1,4316,1
cf_a0,72,4316,894,1,2,4316,1
cf_a0,73,1571,2321,0,1,1571,1
cf_a0,73,1571,2321,1,2,1571,1
cf_a0,74,1143,1229,0,1,1143,1
cf_a0,74,1143,1229,1,1,1229,0
cf_a0,75,1622,654,0,1,1622,1
cf_a0,75,1622,654,1,2,1622,1
cf_a0,76,1072,3593,0,1,1072,1
cf_a0,76,1072,3593,1,1,3593,0
cf_a0,77,1805,4379,0,1,1805,1
cf_a0,77,1805,4379,1,2,1805,1
cf_a0,78,300,2825,0,1,300,1
cf_a0,78,300,2825,1,2,300,1
cf_a0,79,3607,3654,0,1,3607,1
cf_a0,79,3607,3654,1,2,3607,1
cf_a0,80,2920,245,0,1,2920,1
cf_a0,80,2920,245,1,2,2920,1
cf_a0,81,620,4605,0,1,620,1
cf_a0,81,620,4605,1,1,4605,0
cf_a0,82,560,4299,0,1,560,1
cf_a0,82,560,4299,1,2,560,1
cf_a0,83,1351,3833,0,1,1351,1
cf_a0,83,1351,3833,1,2,1351,1
cf_a0,84,4480,3585,0,1,4480,1
cf_a0,84,4480,3585,1,2,4480,1
cf_a0,85,1539,4238,0,1,1539,1
cf_a0,85,1539,4238,1,2,1539,1
cf_a0,86,4949,4466,0,1,4949,1
cf_a0,86,4949,4466,1,2,4949,1
cf_a0,87,3784,4031,0,2,4031,0
cf_a0,87,3784,4031,1,2,3784,1
cf_a0,88,3689,1549,0,1,3689,1
cf_a0,88,3689,1549,1,2,3689,1
cf_a0,89,873,3691,0,1,873,1
cf_a0,89,873,3691,1,2,873,1
cf_a0,90,2849,2015,0,1,2849,1
cf_a0,90,2849,2015,1,2,2849,1
cf_a0,91,4655,161,0,1,4655,1
cf_a0,91,4655,161,1,2,4655,1
cf_a0,92,4101,3543,0,1,4101,1
cf_a0,92,4101,3543,1,2,4101,1
cf_a0,93,4641,846,0,1,4641,1
cf_a0,93,4641,846,1,2,4641,1
cf_a0,94,1726,4207,0,1,1726,1
cf_a0,94,1726,4207,1,2,1726,1
cf_a0,95,4125,2004,0,1,4125,1
cf_a0,95,4125,2004,1,2,4125,1
cf_a0,96,2319,3651,0,1,2319,1
cf_a0,96,2319,3651,1,2,2319,1
cf_a0,97,1084,3355,0,1,1084,1
cf_a0,97,1084,3355,1,2,1084,1
cf_a0,98,3500,775,0,1,3500,1
cf_a0,98,3500,775,1,2,3500,1
cf_a0,33,1335,4290,0,1,1335,1
cf_a0,33,1335,4290,1,2,1335,1
cf_a0,34,3767,2525,0,1,3767,1
cf_a0,34,3767,2525,1,2,3767,1
cf_a0,35,706,504,0,2,504,0
cf_a0,35,706,504,1,2,706,1
cf_a0,36,3834,1727,0,1,3834,1
cf_a0,36,3834,1727,1,2,3834,1
cf_a0,37,2277,728,0,1,2277,1
cf_a0,37,2277,728,1,2,2277,1
cf_a0,38,84,4107,0,1,84,1
cf_a0,38,84,4107,1,2,84,1
cf_a0,39,3333,2251,0,2,2251,0
cf_a0,39,3333,2251,1,2,3333,1
cf_a0,40,4439,905,0,1,4439,1
cf_a0,40,4439,905,1,2,4439,1
cf_a0,41,148,3232,0,1,148,1
cf_a0,41,148,3232,1,1,3232,0
cf_a0,42,2303,1255,0,2,1255,0
cf_a0,42,2303,1255,1,2,2303,1
cf_a0,43,314,1036,0,1,314,1
cf_a0,43,314,1036,1,2,314,1
cf_a0,44,4229,432,0,1,4229,1
cf_a0,44,4229,432,1,1,432,0
cf_a0,45,3499,4625,0,1,3499,1
cf_a0,45,3499,4625,1,2,3499,1
cf_a0,46,695,1446,0,1,695,1
cf_a0,46,695,1446,1,2,695,1
cf_a0,47,1646,2039,0,1,1646,1
cf_a0,47,1646,2039,1,2,1646,1
cf_a0,48,4086,2088,0,1,4086,1
cf_a0,48,4086,2088,1,2,4086,1
cf_a0,49,1558,1166,0,1,1558,1
cf_a0,49,1558,1166,1,2,1558,1
cf_a0,50,503,4557,0,2,4557,0
cf_a0,50,503,4557,1,2,503,1
cf_a0,51,4526,2301,0,1,4526,1
cf_a0,51,4526,2301,1,2,4526,1
cf_a0,52,4225,4639,0,1,4225,1
cf_a0,52,4225,4639,1,2,4225,1
cf_a0,53,847,4314,0,2,4314,0
cf_a0,53,847,4314,1,1,4314,0
cf_a0,54,2834,1745,0,1,2834,1
cf_a0,54,2834,1745,1,2,2834,1
cf_a0,55,1778,2478,0,1,1778,1
cf_a0,55,1778,2478,1,2,1778,1
cf_a0,56,2319,4688,0,1,2319,1
cf_a0,56,2319,4688,1,1,4688,0
cf_a0,57,4217,61,0,1,4217,1
cf_a0,57,4217,61,1,2,4217,1
cf_a0,58,3484,2511,0,1,3484,1
cf_a0,58,3484,2511,1,2,3484,1
cf_a0,59,3389,3921,0,2,3921,0
cf_a0,59,3389,3921,1,2,3389,1
cf_a0,60,3828,3041,0,1,3828,1
cf_a0,60,3828,3041,1,2,3828,1
cf_a0,61,657,312,0,1,657,1
cf_a0,61,657,312,1,2,657,1
cf_a0,62,2080,913,0,1,2080,1
cf_a0,62,2080,913,1,1,913,0
cf_a0,63,4921,1970,0,1,4921,1
cf_a0,63,4921,1970,1,2,4921,1
cf_a0,64,2495,89,0,1,2495,1
cf_a0,64,2495,89,1,2,2495,1
cf_a0,65,2031,3148,0,1,2031,1
cf_a0,65,2031,3148,1,2,2031,1
cf_a0,0,1221,1677,0,1,1221,1
cf_a0,0,1221,1677,1,1,1677,0
cf_a0,1,4523,4881,0,2,4881,0
cf_a0,1,4523,4881,1,2,4523,1
cf_a0,2,3265,2554,0,1,3265,1
cf_a0,2,3265,2554,1,2,3265,1
cf_a0,3,605,368,0,1,605,1
cf_a0,3,605,368,1,1,368,0
cf_a0,4,1350,3122,0,1,1350,1
cf_a0,4,1350,3122,1,2,1350,1
cf_a0,5,737,4617,0,1,737,1
cf_a0,5,737,4617,1,1,4617,0
cf_a0,6,2193,2211,0,1,2193,1
cf_a0,6,2193,2211,1,2,2193,1
cf_a0,7,4457,1853,0,1,4457,1
cf_a0,7,4457,1853,1,2,4457,1
cf_a0,8,1187,2453,0,1,1187,1
cf_a0,8,1187,2453,1,2,1187,1
cf_a0,9,3727,4460,0,2,4460,0
cf_a0,9,3727,4460,1,1,4460,0
cf_a0,10,961,4734,0,1,961,1
cf_a0,10,961,4734,1,2,961,1
cf_a0,11,3573,1027,0,1,3573,1
cf_a0,11,3573,1027,1,1,1027,0
cf_a0,12,1331,4029,0,2,4029,0
cf_a0,12,1331,4029,1,2,1331,1
cf_a0,13,1668,2143,0,1,1668,1
cf_a0,13,1668,2143,1,2,1668,1
cf_a0,14,357,4576,0,2,4576,0
cf_a0,14,357,4576,1,1,4576,0
cf_a0,15,4806,3820,0,1,4806,1
cf_a0,15,4806,3820,1,2,4806,1
cf_a0,16,3394,442,0,2,442,0
cf_a0,16,3394,442,1,1,442,0
cf_a0,17,4567,3131,0,1,4567,1
cf_a0,17,4567,3131,1,2,4567,1
cf_a0,18,2033,4142,0,1,2033,1
cf_a0,18,2033,4142,1,1,4142,0
cf_a0,19,1098,2921,0,2,2921,0
cf_a0,19,1098,2921,1,2,1098,1
cf_a0,20,3378,780,0,1,3378,1
cf_a0,20,3378,780,1,2,3378,1
cf_a0,21,1432,1948,0,2,1948,0
cf_a0,21,1432,1948,1,1,1948,0
cf_a0,22,4906,1503,0,1,4906,1
cf_a0,22,4906,1503,1,2,4906,1
cf_a0,23,4161,4978,0,1,4161,1
cf_a0,23,4161,4978,1,1,4978,0
cf_a0,24,4071,637,0,2,637,0
cf_a0,24,4071,637,1,1,637,0
cf_a0,25,3664,1064,0,1,3664,1
cf_a0,25,3664,1064,1,1,1064,0
cf_a0,26,4644,4217,0,2,4217,0
cf_a0,26,4644,4217,1,1,4217,0
cf_a0,27,4349,3815,0,1,4349,1
cf_a0,27,4349,3815,1,2,4349,1
cf_a0,28,2313,2441,0,1,2313,1
cf_a0,28,2313,2441,1,2,2313,1
cf_a0,29,2768,4663,0,1,2768,1
cf_a0,29,2768,4663,1,2,2768,1
cf_a0,30,3721,2502,0,1,3721,1
cf_a0,30,3721,2502,1,2,3721,1
cf_a0,31,4853,3516,0,1,4853,1
cf_a0,31,4853,3516,1,2,4853,1
cf_a0,32,4973,4914,0,1,4973,1
cf_a0,32,4973,4914,1,1,4914,0
