arm,pair_id,i,j,order,picked_i
factual,0,3929,1806,0,1.0
factual,0,3929,1806,1,1.0
factual,1,1335,4290,0,1.0
factual,1,1335,4290,1,0.0
factual,2,4210,406,0,1.0
factual,2,4210,406,1,1.0
factual,3,2277,728,0,1.0
factual,3,2277,728,1,0.0
factual,4,2251,3333,0,0.0
factual,4,2251,3333,1,0.0
factual,5,148,3232,0,1.0
factual,5,148,3232,1,0.0
factual,6,4244,2963,0,1.0
factual,6,4244,2963,1,1.0
factual,7,4229,432,0,1.0
factual,7,4229,432,1,1.0
factual,8,332,3806,0,0.0
factual,8,332,3806,1,0.0
factual,9,3801,4236,0,1.0
factual,9,3801,4236,1,1.0
factual,10,2453,1187,0,1.0
factual,10,2453,1187,1,0.0
factual,11,4549,3664,0,1.0
factual,11,4549,3664,1,1.0
factual,12,2039,1646,0,0.0
factual,12,2039,1646,1,0.0
factual,13,1229,1143,0,1.0
factual,13,1229,1143,1,1.0
factual,14,961,4734,0,1.0
factual,14,961,4734,1,0.0
factual,15,1331,4029,0,0.0
factual,15,1331,4029,1,0.0
factual,16,1668,2143,0,0.0
factual,16,1668,2143,1,0.0
factual,17,854,1720,0,1.0
factual,17,854,1720,1,1.0
factual,18,4688,2319,0,1.0
factual,18,4688,2319,1,0.0
factual,19,1226,3379,0,0.0
factual,19,1226,3379,1,0.0
factual,20,3131,4567,0,0.0
factual,20,3131,4567,1,0.0
factual,21,3585,4480,0,1.0
factual,21,3585,4480,1,0.0
factual,22,3828,3041,0,1.0
factual,22,3828,3041,1,0.0
factual,23,3053,2179,0,1.0
factual,23,3053,2179,1,1.0
factual,24,4778,4201,0,1.0
factual,24,4778,4201,1,1.0
factual,25,786,2548,0,1.0
factual,25,786,2548,1,1.0
factual,26,2546,765,0,1.0
factual,26,2546,765,1,1.0
factual,27,637,4071,0,1.0
factual,27,637,4071,1,1.0
factual,28,1000,4676,0,0.0
factual,28,1000,4676,1,0.0
factual,29,3148,2031,0,1.0
factual,29,3148,2031,1,0.0
factual,30,2319,3651,0,1.0
factual,30,2319,3651,1,1.0
factual,31,3355,1084,0,1.0
factual,31,3355,1084,1,1.0
factual,32,2797,3953,0,0.0
factual,32,2797,3953,1,0.0
factual,33,504,706,0,1.0
factual,33,504,706,1,1.0
factual,34,1727,3834,0,1.0
factual,34,1727,3834,1,1.0
factual,35,314,1036,0,1.0
factual,35,314,1036,1,1.0
factual,36,3741,2517,0,1.0
factual,36,3741,2517,1,1.0
factual,37,1969,923,0,1.0
factual,37,1969,923,1,0.0
factual,38,4617,737,0,0.0
factual,38,4617,737,1,0.0
factual,39,4457,1853,0,1.0
factual,39,4457,1853,1,0.0
factual,40,1446,695,0,0.0
factual,40,1446,695,1,0.0
factual,41,2181,23,0,1.0
factual,41,2181,23,1,0.0
factual,42,3051,2991,0,1.0
factual,42,3051,2991,1,1.0
factual,43,503,4557,0,0.0
factual,43,503,4557,1,0.0
factual,44,4225,4639,0,0.0
factual,44,4225,4639,1,0.0
factual,45,1622,654,0,1.0
factual,45,1622,654,1,1.0
factual,46,4576,357,0,1.0
factual,46,4576,357,1,1.0
factual,47,3484,2511,0,1.0
factual,47,3484,2511,1,0.0
factual,48,3394,442,0,0.0
factual,48,3394,442,1,0.0
factual,49,4142,2033,0,0.0
factual,49,4142,2033,1,1.0
factual,50,613,1406,0,1.0
factual,50,613,1406,1,0.0
factual,51,312,657,0,1.0
factual,51,312,657,1,0.0
factual,52,3691,873,0,1.0
factual,52,3691,873,1,0.0
factual,53,4921,1970,0,1.0
factual,53,4921,1970,1,1.0
factual,54,2849,2015,0,0.0
factual,54,2849,2015,1,0.0
factual,55,4655,161,0,0.0
factual,55,4655,161,1,0.0
factual,56,4263,3736,0,1.0
factual,56,4263,3736,1,0.0
factual,57,3664,1064,0,1.0
factual,57,3664,1064,1,1.0
factual,58,2495,89,0,1.0
factual,58,2495,89,1,1.0
factual,59,3815,4349,0,0.0
factual,59,3815,4349,1,0.0
factual,60,2441,2313,0,1.0
factual,60,2441,2313,1,1.0
factual,61,3034,4272,0,1.0
factual,61,3034,4272,1,1.0
factual,62,2502,3721,0,1.0
factual,62,2502,3721,1,1.0
factual,63,1733,105,0,1.0
factual,63,1733,105,1,1.0
factual,64,2787,665,0,0.0
factual,64,2787,665,1,0.0
factual,65,3516,4853,0,1.0
factual,65,3516,4853,1,1.0
factual,66,3171,2068,0,1.0
factual,66,3171,2068,1,0.0
factual,67,1350,1297,0,1.0
factual,67,1350,1297,1,0.0
factual,68,1255,2303,0,0.0
factual,68,1255,2303,1,0.0
factual,69,605,368,0,0.0
factual,69,605,368,1,0.0
factual,70,3499,4625,0,1.0
factual,70,3499,4625,1,0.0
factual,71,2692,2001,0,1.0
factual,71,2692,2001,1,1.0
factual,72,1320,4154,0,1.0
factual,72,1320,4154,1,0.0
factual,73,4316,894,0,1.0
factual,73,4316,894,1,1.0
factual,74,2301,4526,0,0.0
factual,74,2301,4526,1,0.0
factual,75,3206,2874,0,1.0
factual,75,3206,2874,1,1.0
factual,76,1072,3593,0,1.0
factual,76,1072,3593,1,1.0
factual,77,3306,2500,0,1.0
factual,77,3306,2500,1,1.0
factual,78,4314,847,0,1.0
factual,78,4314,847,1,1.0
factual,79,4379,1805,0,1.0
factual,79,4379,1805,1,1.0
factual,80,1745,2834,0,1.0
factual,80,1745,2834,1,1.0
factual,81,2701,105,0,1.0
factual,81,2701,105,1,1.0
factual,82,2862,1813,0,0.0
factual,82,2862,1813,1,0.0
factual,83,2825,300,0,1.0
factual,83,2825,300,1,1.0
factual,84,3607,3654,0,1.0
factual,84,3607,3654,1,1.0
factual,85,4806,3820,0,1.0
factual,85,4806,3820,1,1.0
factual,86,620,4605,0,1.0
factual,86,620,4605,1,1.0
factual,87,3591,1960,0,0.0
factual,87,3591,1960,1,0.0
factual,88,2921,1098,0,1.0
factual,88,2921,1098,1,0.0
factual,89,1449,1973,0,1.0
factual,89,1449,1973,1,1.0
factual,90,560,4299,0,0.0
factual,90,560,4299,1,0.0
factual,91,4466,4949,0,0.0
factual,91,4466,4949,1,0.0
factual,92,1948,1432,0,1.0
factual,92,1948,1432,1,0.0
factual,93,2080,913,0,1.0
factual,93,2080,913,1,1.0
factual,94,4747,3768,0,1.0
factual,94,4747,3768,1,0.0
