arm,pair_id,i,j,order,picked_i
factual,0,3929,1806,0,0.0
factual,0,3929,1806,1,0.0
factual,1,706,504,0,1.0
factual,1,706,504,1,1.0
factual,2,1727,3834,0,1.0
factual,2,1727,3834,1,1.0
factual,3,2277,728,0,1.0
factual,3,2277,728,1,0.0
factual,4,4881,4523,0,1.0
factual,4,4881,4523,1,1.0
factual,5,3655,3405,0,0.0
factual,5,3655,3405,1,0.0
factual,6,4929,454,0,0.0
factual,6,4929,454,1,0.0
factual,7,2554,3265,0,1.0
factual,7,2554,3265,1,0.0
factual,8,605,368,0,0.0
factual,8,605,368,1,0.0
factual,9,1320,4154,0,1.0
factual,9,1320,4154,1,1.0
factual,10,2193,2211,0,1.0
factual,10,2193,2211,1,1.0
factual,11,1853,4457,0,0.0
factual,11,1853,4457,1,1.0
factual,12,1744,4671,0,1.0
factual,12,1744,4671,1,1.0
factual,13,2453,1187,0,1.0
factual,13,2453,1187,1,1.0
factual,14,961,4734,0,0.0
factual,14,961,4734,1,0.0
factual,15,4043,3987,0,0.0
factual,15,4043,3987,1,0.0
factual,16,4379,1805,0,1.0
factual,16,4379,1805,1,0.0
factual,17,2834,1745,0,1.0
factual,17,2834,1745,1,1.0
factual,18,4029,1331,0,1.0
factual,18,4029,1331,1,1.0
factual,19,2533,1569,0,1.0
factual,19,2533,1569,1,0.0
factual,20,1668,2143,0,1.0
factual,20,1668,2143,1,0.0
factual,21,582,3407,0,1.0
factual,21,582,3407,1,0.0
factual,22,3484,2511,0,0.0
factual,22,3484,2511,1,1.0
factual,23,3131,4567,0,1.0
factual,23,3131,4567,1,1.0
factual,24,3585,4480,0,1.0
factual,24,3585,4480,1,1.0
factual,25,4949,4466,0,1.0
factual,25,4949,4466,1,1.0
factual,26,3784,4031,0,1.0
factual,26,3784,4031,1,1.0
factual,27,1948,1432,0,0.0
factual,27,1948,1432,1,0.0
factual,28,2080,913,0,1.0
factual,28,2080,913,1,1.0
factual,29,2546,765,0,0.0
factual,29,2546,765,1,0.0
factual,30,1647,3250,0,1.0
factual,30,1647,3250,1,0.0
factual,31,4978,4161,0,1.0
factual,31,4978,4161,1,1.0
factual,32,2849,2015,0,0.0
factual,32,2849,2015,1,0.0
factual,33,1350,1297,0,0.0
factual,33,1350,1297,1,0.0
factual,34,84,4107,0,1.0
factual,34,84,4107,1,1.0
factual,35,314,1036,0,1.0
factual,35,314,1036,1,1.0
factual,36,4229,432,0,1.0
factual,36,4229,432,1,0.0
factual,37,3283,4769,0,1.0
factual,37,3283,4769,1,1.0
factual,38,737,4617,0,1.0
factual,38,737,4617,1,0.0
factual,39,2002,1857,0,1.0
factual,39,2002,1857,1,0.0
factual,40,4086,2088,0,1.0
factual,40,4086,2088,1,1.0
factual,41,4316,894,0,0.0
factual,41,4316,894,1,0.0
factual,42,4526,2301,0,1.0
factual,42,4526,2301,1,1.0
factual,43,4225,4639,0,1.0
factual,43,4225,4639,1,1.0
factual,44,1622,654,0,1.0
factual,44,1622,654,1,1.0
factual,45,3206,2874,0,1.0
factual,45,3206,2874,1,1.0
factual,46,847,4314,0,1.0
factual,46,847,4314,1,1.0
factual,47,2945,2526,0,1.0
factual,47,2945,2526,1,1.0
factual,48,1720,854,0,1.0
factual,48,1720,854,1,1.0
factual,49,2319,4688,0,1.0
factual,49,2319,4688,1,1.0
factual,50,3607,3654,0,1.0
factual,50,3607,3654,1,1.0
factual,51,61,4217,0,0.0
factual,51,61,4217,1,1.0
factual,52,3820,4806,0,1.0
factual,52,3820,4806,1,1.0
factual,53,3853,1408,0,1.0
factual,53,3853,1408,1,1.0
factual,54,3921,3389,0,0.0
factual,54,3921,3389,1,0.0
factual,55,1226,3379,0,1.0
factual,55,1226,3379,1,1.0
factual,56,1449,1973,0,1.0
factual,56,1449,1973,1,1.0
factual,57,1351,3833,0,0.0
factual,57,1351,3833,1,0.0
factual,58,3736,4263,0,1.0
factual,58,3736,4263,1,1.0
factual,59,2495,89,0,1.0
factual,59,2495,89,1,1.0
factual,60,4207,1726,0,1.0
factual,60,4207,1726,1,1.0
factual,61,4349,3815,0,1.0
factual,61,4349,3815,1,1.0
factual,62,1000,4676,0,1.0
factual,62,1000,4676,1,1.0
factual,63,3721,2502,0,1.0
factual,63,3721,2502,1,1.0
factual,64,447,546,0,1.0
factual,64,447,546,1,1.0
factual,65,519,1648,0,1.0
factual,65,519,1648,1,1.0
factual,66,3263,4401,0,1.0
factual,66,3263,4401,1,1.0
factual,67,696,1050,0,1.0
factual,67,696,1050,1,1.0
factual,68,4210,406,0,1.0
factual,68,4210,406,1,1.0
factual,69,4244,2963,0,1.0
factual,69,4244,2963,1,1.0
factual,70,1969,923,0,1.0
factual,70,1969,923,1,1.0
factual,71,4460,3727,0,1.0
factual,71,4460,3727,1,0.0
factual,72,4706,3194,0,1.0
factual,72,4706,3194,1,1.0
factual,73,3306,2500,0,0.0
factual,73,3306,2500,1,0.0
factual,74,3410,1413,0,1.0
factual,74,3410,1413,1,1.0
factual,75,300,2825,0,1.0
factual,75,300,2825,1,1.0
factual,76,1067,880,0,1.0
factual,76,1067,880,1,1.0
factual,77,442,3394,0,1.0
factual,77,442,3394,1,1.0
factual,78,620,4605,0,1.0
factual,78,620,4605,1,1.0
factual,79,613,1406,0,0.0
factual,79,613,1406,1,1.0
factual,80,560,4299,0,1.0
factual,80,560,4299,1,1.0
factual,81,657,312,0,1.0
factual,81,657,312,1,1.0
factual,82,4778,4201,0,1.0
factual,82,4778,4201,1,1.0
factual,83,1503,4906,0,1.0
factual,83,1503,4906,1,1.0
factual,84,4921,1970,0,1.0
factual,84,4921,1970,1,1.0
factual,85,1064,3664,0,1.0
factual,85,1064,3664,1,0.0
factual,86,4125,2004,0,1.0
factual,86,4125,2004,1,1.0
factual,87,2411,1014,0,1.0
factual,87,2411,1014,1,1.0
factual,88,850,229,0,1.0
factual,88,850,229,1,1.0
factual,89,665,2787,0,1.0
factual,89,665,2787,1,1.0
factual,90,1268,3614,0,1.0
factual,90,1268,3614,1,1.0
factual,91,3666,2697,0,1.0
factual,91,3666,2697,1,1.0
factual,92,995,2154,0,1.0
factual,92,995,2154,1,1.0
factual,93,1360,2909,0,1.0
factual,93,1360,2909,1,1.0
factual,94,377,2060,0,1.0
factual,94,377,2060,1,1.0
factual,95,1789,3650,0,1.0
factual,95,1789,3650,1,1.0
factual,96,4742,4552,0,1.0
factual,96,4742,4552,1,0.0
factual,97,397,4294,0,1.0
factual,97,397,4294,1,1.0
factual,98,352,1298,0,0.0
factual,98,352,1298,1,1.0
cf_a1,0,3929,1806,0,1.0
cf_a1,0,3929,1806,1,0.0
cf_a1,1,706,504,0,1.0
cf_a1,1,706,504,1,1.0
cf_a1,2,1727,3834,0,0.0
cf_a1,2,1727,3834,1,1.0
cf_a1,3,2277,728,0,1.0
cf_a1,3,2277,728,1,1.0
cf_a1,4,4881,4523,0,1.0
cf_a1,4,4881,4523,1,1.0
cf_a1,5,3655,3405,0,0.0
cf_a1,5,3655,3405,1,0.0
cf_a1,6,4929,454,0,0.0
cf_a1,6,4929,454,1,0.0
cf_a1,7,2554,3265,0,1.0
cf_a1,7,2554,3265,1,0.0
cf_a1,8,605,368,0,0.0
cf_a1,8,605,368,1,0.0
cf_a1,9,1320,4154,0,1.0
cf_a1,9,1320,4154,1,1.0
cf_a1,10,2193,2211,0,1.0
cf_a1,10,2193,2211,1,1.0
cf_a1,11,1853,4457,0,1.0
cf_a1,11,1853,4457,1,1.0
cf_a1,12,1744,4671,0,1.0
cf_a1,12,1744,4671,1,1.0
cf_a1,13,2453,1187,0,1.0
cf_a1,13,2453,1187,1,1.0
cf_a1,14,961,4734,0,0.0
cf_a1,14,961,4734,1,0.0
cf_a1,15,4043,3987,0,1.0
cf_a1,15,4043,3987,1,0.0
cf_a1,16,4379,1805,0,0.0
cf_a1,16,4379,1805,1,0.0
cf_a1,17,2834,1745,0,1.0
cf_a1,17,2834,1745,1,1.0
cf_a1,18,4029,1331,0,1.0
cf_a1,18,4029,1331,1,1.0
cf_a1,19,2533,1569,0,1.0
cf_a1,19,2533,1569,1,0.0
cf_a1,20,1668,2143,0,1.0
cf_a1,20,1668,2143,1,1.0
cf_a1,21,582,3407,0,1.0
cf_a1,21,582,3407,1,0.0
cf_a1,22,3484,2511,0,0.0
cf_a1,22,3484,2511,1,1.0
cf_a1,23,3131,4567,0,1.0
cf_a1,23,3131,4567,1,1.0
cf_a1,24,3585,4480,0,1.0
cf_a1,24,3585,4480,1,1.0
cf_a1,25,4949,4466,0,1.0
cf_a1,25,4949,4466,1,1.0
cf_a1,26,3784,4031,0,1.0
cf_a1,26,3784,4031,1,1.0
cf_a1,27,1948,1432,0,0.0
cf_a1,27,1948,1432,1,0.0
cf_a1,28,2080,913,0,1.0
cf_a1,28,2080,913,1,1.0
cf_a1,29,2546,765,0,0.0
cf_a1,29,2546,765,1,0.0
cf_a1,30,1647,3250,0,1.0
cf_a1,30,1647,3250,1,1.0
cf_a1,31,4978,4161,0,1.0
cf_a1,31,4978,4161,1,1.0
cf_a1,32,2849,2015,0,0.0
cf_a1,32,2849,2015,1,0.0
cf_a1,33,1350,1297,0,1.0
cf_a1,33,1350,1297,1,0.0
cf_a1,34,84,4107,0,1.0
cf_a1,34,84,4107,1,1.0
cf_a1,35,314,1036,0,1.0
cf_a1,35,314,1036,1,1.0
cf_a1,36,4229,432,0,1.0
cf_a1,36,4229,432,1,0.0
cf_a1,37,3283,4769,0,1.0
cf_a1,37,3283,4769,1,1.0
cf_a1,38,737,4617,0,1.0
cf_a1,38,737,4617,1,1.0
cf_a1,39,2002,1857,0,1.0
cf_a1,39,2002,1857,1,0.0
cf_a1,40,4086,2088,0,1.0
cf_a1,40,4086,2088,1,1.0
cf_a1,41,4316,894,0,0.0
cf_a1,41,4316,894,1,0.0
cf_a1,42,4526,2301,0,1.0
cf_a1,42,4526,2301,1,1.0
cf_a1,43,4225,4639,0,1.0
cf_a1,43,4225,4639,1,1.0
cf_a1,44,1622,654,0,1.0
cf_a1,44,1622,654,1,1.0
cf_a1,45,3206,2874,0,1.0
cf_a1,45,3206,2874,1,1.0
cf_a1,46,847,4314,0,1.0
cf_a1,46,847,4314,1,1.0
cf_a1,47,2945,2526,0,1.0
cf_a1,47,2945,2526,1,1.0
cf_a1,48,1720,854,0,1.0
cf_a1,48,1720,854,1,1.0
cf_a1,49,2319,4688,0,1.0
cf_a1,49,2319,4688,1,1.0
cf_a1,50,3607,3654,0,1.0
cf_a1,50,3607,3654,1,1.0
cf_a1,51,61,4217,0,0.0
cf_a1,51,61,4217,1,1.0
cf_a1,52,3820,4806,0,1.0
cf_a1,52,3820,4806,1,1.0
cf_a1,53,3853,1408,0,1.0
cf_a1,53,3853,1408,1,1.0
cf_a1,54,3921,3389,0,0.0
