arm,draw,pair_id,i,j,order,patient,chosen,picked_i
cf_a1,0,0,4929,454,0,1,4929,1
cf_a1,0,0,4929,454,1,1,454,0
cf_a0,0,0,4929,454,0,2,454,0
cf_a0,0,0,4929,454,1,1,454,0
cf_a1,0,1,2554,3265,0,1,2554,1
cf_a1,0,1,2554,3265,1,2,2554,1
cf_a0,0,1,2554,3265,0,1,2554,1
cf_a0,0,1,2554,3265,1,1,3265,0
cf_a1,0,2,2963,4244,0,2,4244,0
cf_a1,0,2,2963,4244,1,1,4244,0
cf_a0,0,2,2963,4244,0,2,4244,0
cf_a0,0,2,2963,4244,1,1,4244,0
cf_a1,0,3,3499,4625,0,1,3499,1
cf_a1,0,3,3499,4625,1,1,4625,0
cf_a0,0,3,3499,4625,0,1,3499,1
cf_a0,0,3,3499,4625,1,1,4625,0
cf_a1,0,4,3051,2991,0,1,3051,1
cf_a1,0,4,3051,2991,1,1,2991,0
cf_a0,0,4,3051,2991,0,2,2991,0
cf_a0,0,4,3051,2991,1,1,2991,0
cf_a1,0,5,894,4316,0,1,894,1
cf_a1,0,5,894,4316,1,1,4316,0
cf_a0,0,5,894,4316,0,2,4316,0
cf_a0,0,5,894,4316,1,1,4316,0
cf_a1,0,6,4734,961,0,1,4734,1
cf_a1,0,6,4734,961,1,2,4734,1
cf_a0,0,6,4734,961,0,1,4734,1
cf_a0,0,6,4734,961,1,2,4734,1
cf_a1,0,7,62,2438,0,1,62,1
cf_a1,0,7,62,2438,1,2,62,1
cf_a0,0,7,62,2438,0,2,2438,0
cf_a0,0,7,62,2438,1,1,2438,0
cf_a1,0,8,3833,1351,0,1,3833,1
cf_a1,0,8,3833,1351,1,2,3833,1
cf_a0,0,8,3833,1351,0,1,3833,1
cf_a0,0,8,3833,1351,1,2,3833,1
cf_a1,0,9,4238,1539,0,2,1539,0
cf_a1,0,9,4238,1539,1,1,1539,0
cf_a0,0,9,4238,1539,0,2,1539,0
cf_a0,0,9,4238,1539,1,1,1539,0
cf_a1,0,10,312,657,0,1,312,1
cf_a1,0,10,312,657,1,2,312,1
cf_a0,0,10,312,657,0,2,657,0
cf_a0,0,10,312,657,1,1,657,0
cf_a1,0,11,786,2548,0,1,786,1
cf_a1,0,11,786,2548,1,2,786,1
cf_a0,0,11,786,2548,0,1,786,1
cf_a0,0,11,786,2548,1,2,786,1
cf_a1,0,12,4921,1970,0,1,4921,1
cf_a1,0,12,4921,1970,1,2,4921,1
cf_a0,0,12,4921,1970,0,1,4921,1
cf_a0,0,12,4921,1970,1,1,1970,0
cf_a1,0,13,2441,2313,0,1,2441,1
cf_a1,0,13,2441,2313,1,2,2441,1
cf_a0,0,13,2441,2313,0,2,2313,0
cf_a0,0,13,2441,2313,1,1,2313,0
cf_a1,0,14,2411,1014,0,1,2411,1
