arm,sample_id,pair_id,i,j,order,patient,chosen,picked_i
cf_a1,7,0,4929,454,0,1,4929,1
cf_a1,3,0,4929,454,0,1,4929,1
cf_a1,4,0,4929,454,0,1,4929,1
cf_a1,5,0,4929,454,0,1,4929,1
cf_a1,0,0,4929,454,0,1,4929,1
cf_a1,1,0,4929,454,0,1,4929,1
cf_a1,2,0,4929,454,0,1,4929,1
cf_a1,6,0,4929,454,0,1,4929,1
cf_a1,9,0,4929,454,0,1,4929,1
cf_a1,10,0,4929,454,0,1,4929,1
cf_a1,8,0,4929,454,0,1,4929,1
cf_a1,11,0,4929,454,0,1,4929,1
cf_a1,12,0,4929,454,0,1,4929,1
cf_a1,13,0,4929,454,0,1,4929,1
cf_a1,14,0,4929,454,0,1,4929,1
cf_a1,15,0,4929,454,0,1,4929,1
cf_a1,16,0,4929,454,0,1,4929,1
cf_a1,19,0,4929,454,0,1,4929,1
cf_a1,17,0,4929,454,0,1,4929,1
cf_a1,18,0,4929,454,0,1,4929,1
cf_a1,0,0,4929,454,1,2,4929,1
cf_a1,2,0,4929,454,1,1,454,0
cf_a1,1,0,4929,454,1,2,4929,1
cf_a1,3,0,4929,454,1,1,454,0
cf_a1,7,0,4929,454,1,2,4929,1
cf_a1,5,0,4929,454,1,2,4929,1
cf_a1,4,0,4929,454,1,2,4929,1
cf_a1,6,0,4929,454,1,2,4929,1
cf_a1,9,0,4929,454,1,2,4929,1
cf_a1,8,0,4929,454,1,2,4929,1
cf_a1,10,0,4929,454,1,2,4929,1
cf_a1,11,0,4929,454,1,1,454,0
cf_a1,12,0,4929,454,1,1,454,0
cf_a1,16,0,4929,454,1,2,4929,1
cf_a1,14,0,4929,454,1,2,4929,1
cf_a1,15,0,4929,454,1,2,4929,1
cf_a1,13,0,4929,454,1,2,4929,1
cf_a1,18,0,4929,454,1,2,4929,1
cf_a1,17,0,4929,454,1,2,4929,1
cf_a0,0,0,4929,454,0,1,4929,1
cf_a1,19,0,4929,454,1,2,4929,1
cf_a0,1,0,4929,454,0,2,454,0
cf_a0,2,0,4929,454,0,1,4929,1
cf_a0,3,0,4929,454,0,2,454,0
cf_a0,6,0,4929,454,0,1,4929,1
cf_a0,4,0,4929,454,0,2,454,0
cf_a0,5,0,4929,454,0,1,4929,1
cf_a0,7,0,4929,454,0,1,4929,1
cf_a0,8,0,4929,454,0,1,4929,1
cf_a0,11,0,4929,454,0,2,454,0
cf_a0,9,0,4929,454,0,2,454,0
cf_a0,10,0,4929,454,0,1,4929,1
cf_a0,12,0,4929,454,0,1,4929,1
cf_a0,13,0,4929,454,0,1,4929,1
cf_a0,16,0,4929,454,0,1,4929,1
cf_a0,14,0,4929,454,0,1,4929,1
cf_a0,15,0,4929,454,0,1,4929,1
cf_a0,18,0,4929,454,0,1,4929,1
cf_a0,17,0,4929,454,0,1,4929,1
cf_a0,19,0,4929,454,0,1,4929,1
cf_a0,0,0,4929,454,1,1,454,0
cf_a0,4,0,4929,454,1,1,454,0
cf_a0,1,0,4929,454,1,2,4929,1
cf_a0,2,0,4929,454,1,1,454,0
cf_a0,3,0,4929,454,1,2,4929,1
cf_a0,5,0,4929,454,1,1,454,0
cf_a0,8,0,4929,454,1,2,4929,1
cf_a0,10,0,4929,454,1,1,454,0
cf_a0,6,0,4929,454,1,1,454,0
cf_a0,11,0,4929,454,1,2,4929,1
cf_a0,7,0,4929,454,1,1,454,0
cf_a0,9,0,4929,454,1,2,4929,1
cf_a0,15,0,4929,454,1,1,454,0
cf_a0,12,0,4929,454,1,1,454,0
cf_a0,13,0,4929,454,1,1,454,0
cf_a0,14,0,4929,454,1,1,454,0
cf_a0,16,0,4929,454,1,1,454,0
cf_a0,17,0,4929,454,1,1,454,0
cf_a0,19,0,4929,454,1,2,4929,1
cf_a0,18,0,4929,454,1,1,454,0
cf_a1,0,1,2554,3265,0,2,3265,0
cf_a1,1,1,2554,3265,0,2,3265,0
cf_a1,2,1,2554,3265,0,1,2554,1
cf_a1,6,1,2554,3265,0,1,2554,1
cf_a1,3,1,2554,3265,0,1,2554,1
cf_a1,5,1,2554,3265,0,1,2554,1
cf_a1,7,1,2554,3265,0,1,2554,1
cf_a1,4,1,2554,3265,0,1,2554,1
cf_a1,9,1,2554,3265,0,1,2554,1
cf_a1,8,1,2554,3265,0,1,2554,1
cf_a1,10,1,2554,3265,0,2,3265,0
cf_a1,11,1,2554,3265,0,2,3265,0
cf_a1,14,1,2554,3265,0,1,2554,1
cf_a1,12,1,2554,3265,0,1,2554,1
cf_a1,15,1,2554,3265,0,1,2554,1
cf_a1,13,1,2554,3265,0,1,2554,1
cf_a1,18,1,2554,3265,0,1,2554,1
cf_a1,17,1,2554,3265,0,2,3265,0
cf_a1,16,1,2554,3265,0,1,2554,1
cf_a1,19,1,2554,3265,0,1,2554,1
cf_a1,0,1,2554,3265,1,1,3265,0
cf_a1,1,1,2554,3265,1,1,3265,0
cf_a1,2,1,2554,3265,1,1,3265,0
cf_a1,4,1,2554,3265,1,1,3265,0
cf_a1,6,1,2554,3265,1,1,3265,0
cf_a1,3,1,2554,3265,1,1,3265,0
cf_a1,5,1,2554,3265,1,1,3265,0
cf_a1,7,1,2554,3265,1,2,2554,1
cf_a1,9,1,2554,3265,1,1,3265,0
