arm,pair_id,i,j,order,patient,chosen,picked_i
factual,67,1350,1297,1,1,1297,0
factual,69,3499,4625,1,2,3499,1
factual,66,3929,1806,1,2,3929,1
factual,66,3929,1806,0,1,3929,1
factual,69,3499,4625,0,2,4625,0
factual,68,4523,4881,1,2,4523,1
factual,68,4523,4881,0,1,4523,1
factual,67,1350,1297,0,2,1297,0
factual,70,4671,1744,0,1,4671,1
factual,70,4671,1744,1,2,4671,1
factual,71,4316,894,0,1,4316,1
factual,72,3194,4706,0,1,3194,1
factual,71,4316,894,1,2,4316,1
factual,72,3194,4706,1,2,3194,1
factual,73,1622,654,1,2,1622,1
factual,73,1622,654,0,1,1622,1
factual,74,2438,62,0,1,2438,1
factual,75,1805,4379,0,1,1805,1
factual,74,2438,62,1,2,2438,1
factual,75,1805,4379,1,2,1805,1
factual,77,3260,3014,0,2,3014,0
factual,76,3573,1027,0,1,3573,1
factual,76,3573,1027,1,2,3573,1
factual,77,3260,3014,1,1,3014,0
factual,78,2701,105,1,2,2701,1
factual,78,2701,105,0,1,2701,1
factual,79,3607,3654,0,1,3607,1
factual,79,3607,3654,1,2,3607,1
factual,80,357,4576,0,1,357,1
factual,81,4806,3820,0,1,4806,1
factual,80,357,4576,1,2,357,1
factual,81,4806,3820,1,2,4806,1
factual,82,1408,3853,0,1,1408,1
factual,82,1408,3853,1,2,1408,1
factual,83,3394,442,1,2,3394,1
factual,83,3394,442,0,2,442,0
factual,84,560,4299,0,1,560,1
factual,84,560,4299,1,2,560,1
factual,85,1351,3833,0,1,1351,1
factual,85,1351,3833,1,2,1351,1
factual,86,4480,3585,1,2,4480,1
factual,86,4480,3585,0,1,4480,1
factual,87,1539,4238,0,1,1539,1
factual,87,1539,4238,1,1,4238,0
factual,88,781,2920,0,2,2920,0
factual,88,781,2920,1,2,781,1
factual,89,908,2183,0,1,908,1
factual,90,786,2548,1,2,786,1
factual,90,786,2548,0,1,786,1
factual,91,4161,4978,0,1,4161,1
factual,89,908,2183,1,2,908,1
factual,91,4161,4978,1,2,4161,1
factual,92,2849,2015,0,1,2849,1
factual,93,3320,3037,0,1,3320,1
factual,92,2849,2015,1,1,2015,0
factual,93,3320,3037,1,2,3320,1
factual,94,3664,1064,0,1,3664,1
factual,94,3664,1064,1,2,3664,1
factual,95,2255,4253,0,1,2255,1
factual,95,2255,4253,1,2,2255,1
factual,96,4125,2004,0,1,4125,1
factual,97,1173,4755,0,1,1173,1
factual,96,4125,2004,1,2,4125,1
factual,98,1323,2210,0,1,1323,1
factual,97,1173,4755,1,2,1173,1
factual,33,4290,1335,1,2,4290,1
factual,33,4290,1335,0,1,4290,1
factual,98,1323,2210,1,2,1323,1
factual,35,406,4210,0,1,406,1
factual,34,3767,2525,0,1,3767,1
factual,34,3767,2525,1,2,3767,1
factual,35,406,4210,1,1,4210,0
factual,36,3834,1727,0,1,3834,1
factual,37,2277,728,0,1,2277,1
factual,39,454,4929,0,2,4929,0
factual,38,4251,377,1,2,4251,1
factual,37,2277,728,1,2,2277,1
factual,36,3834,1727,1,2,3834,1
factual,38,4251,377,0,1,4251,1
factual,39,454,4929,1,1,4929,0
factual,40,4244,2963,0,1,4244,1
factual,40,4244,2963,1,2,4244,1
factual,41,4229,432,1,1,432,0
factual,41,4229,432,0,2,432,0
factual,42,3806,332,1,2,3806,1
factual,43,4457,1853,0,1,4457,1
factual,42,3806,332,0,1,3806,1
factual,43,4457,1853,1,1,1853,0
factual,44,3801,4236,1,2,3801,1
factual,44,3801,4236,0,2,4236,0
factual,45,1187,2453,0,1,1187,1
factual,45,1187,2453,1,2,1187,1
factual,46,2181,23,0,1,2181,1
factual,46,2181,23,1,2,2181,1
factual,47,4225,4639,1,1,4639,0
factual,47,4225,4639,0,2,4639,0
factual,48,1331,4029,1,1,4029,0
factual,48,1331,4029,0,2,4029,0
factual,49,880,1067,0,1,880,1
factual,49,880,1067,1,2,880,1
factual,50,3484,2511,1,2,3484,1
factual,51,620,4605,1,2,620,1
factual,51,620,4605,0,1,620,1
factual,50,3484,2511,0,1,3484,1
factual,53,2921,1098,0,1,2921,1
factual,52,4142,2033,0,2,2033,0
factual,52,4142,2033,1,1,2033,0
factual,54,3828,3041,0,1,3828,1
factual,54,3828,3041,1,2,3828,1
factual,55,2179,3053,1,1,3053,0
factual,53,2921,1098,1,2,2921,1
factual,56,2080,913,1,2,2080,1
factual,55,2179,3053,0,2,3053,0
factual,56,2080,913,0,1,2080,1
factual,57,873,3691,0,1,873,1
factual,57,873,3691,1,2,873,1
factual,58,2495,89,1,2,2495,1
factual,58,2495,89,0,1,2495,1
factual,59,4641,846,0,2,846,0
factual,59,4641,846,1,1,846,0
factual,60,1726,4207,1,2,1726,1
factual,61,2411,1014,0,1,2411,1
factual,60,1726,4207,0,1,1726,1
factual,61,2411,1014,1,2,2411,1
factual,62,4105,2201,0,1,4105,1
factual,62,4105,2201,1,2,4105,1
factual,63,1779,1626,1,2,1779,1
factual,64,4037,2324,0,2,2324,0
factual,63,1779,1626,0,1,1779,1
factual,64,4037,2324,1,2,4037,1
factual,65,2880,929,0,1,2880,1
factual,0,84,4107,1,2,84,1
factual,65,2880,929,1,2,2880,1
factual,1,2251,3333,0,2,3333,0
factual,1,2251,3333,1,2,2251,1
factual,2,605,368,0,2,368,0
factual,3,314,1036,0,1,314,1
factual,0,84,4107,0,1,84,1
factual,2,605,368,1,1,368,0
factual,3,314,1036,1,2,314,1
factual,4,2193,2211,0,1,2193,1
factual,5,3664,4549,0,2,4549,0
factual,4,2193,2211,1,1,2211,0
factual,6,2088,4086,1,1,4086,0
factual,6,2088,4086,0,2,4086,0
factual,5,3664,4549,1,1,4549,0
factual,7,1315,2417,0,2,2417,0
factual,7,1315,2417,1,1,2417,0
factual,8,1143,1229,0,1,1143,1
factual,8,1143,1229,1,1,1229,0
factual,10,2834,1745,0,1,2834,1
factual,9,961,4734,0,2,4734,0
factual,9,961,4734,1,1,4734,0
factual,10,2834,1745,1,2,2834,1
factual,12,1668,2143,0,1,1668,1
factual,11,1569,2533,0,2,2533,0
factual,12,1668,2143,1,2,1668,1
factual,13,3407,582,1,2,3407,1
factual,11,1569,2533,1,2,1569,1
factual,13,3407,582,0,1,3407,1
factual,14,854,1720,1,2,854,1
factual,14,854,1720,0,1,854,1
factual,15,4217,61,1,2,4217,1
factual,15,4217,61,0,1,4217,1
factual,16,3379,1226,0,2,1226,0
factual,17,4567,3131,0,1,4567,1
factual,16,3379,1226,1,2,3379,1
factual,17,4567,3131,1,2,4567,1
factual,18,1406,613,0,1,1406,1
factual,18,1406,613,1,2,1406,1
factual,19,4949,4466,0,1,4949,1
factual,19,4949,4466,1,2,4949,1
factual,20,1432,1948,0,2,1948,0
factual,20,1432,1948,1,2,1432,1
factual,22,1549,3689,0,2,3689,0
factual,21,657,312,0,1,657,1
factual,21,657,312,1,2,657,1
factual,23,4906,1503,0,1,4906,1
factual,22,1549,3689,1,1,3689,0
factual,23,4906,1503,1,2,4906,1
factual,24,3867,2222,0,2,2222,0
factual,24,3867,2222,1,2,3867,1
factual,26,4921,1970,0,1,4921,1
factual,25,4071,637,0,1,4071,1
factual,26,4921,1970,1,2,4921,1
factual,27,4655,161,0,2,161,0
factual,25,4071,637,1,2,4071,1
factual,28,4263,3736,1,2,4263,1
factual,28,4263,3736,0,1,4263,1
factual,27,4655,161,1,1,161,0
factual,29,4217,4644,1,2,4217,1
factual,29,4217,4644,0,1,4217,1
factual,31,2319,3651,0,1,2319,1
factual,30,4676,1000,0,1,4676,1
factual,31,2319,3651,1,2,2319,1
factual,32,3500,775,0,1,3500,1
factual,30,4676,1000,1,2,4676,1
factual,32,3500,775,1,2,3500,1
cf_a1,68,4523,4881,1,2,4523,1
cf_a1,66,3929,1806,1,2,3929,1
cf_a1,66,3929,1806,0,1,3929,1
cf_a1,67,1350,1297,0,2,1297,0
cf_a1,67,1350,1297,1,2,1350,1
cf_a1,69,3499,4625,0,1,3499,1
cf_a1,69,3499,4625,1,2,3499,1
cf_a1,68,4523,4881,0,1,4523,1
cf_a1,70,4671,1744,0,1,4671,1
cf_a1,70,4671,1744,1,1,1744,0
cf_a1,71,4316,894,1,2,4316,1
cf_a1,71,4316,894,0,1,4316,1
cf_a1,72,3194,4706,0,1,3194,1
cf_a1,72,3194,4706,1,2,3194,1
cf_a1,73,1622,654,0,1,1622,1
cf_a1,73,1622,654,1,2,1622,1
cf_a1,74,2438,62,1,2,2438,1
cf_a1,75,1805,4379,1,2,1805,1
cf_a1,74,2438,62,0,1,2438,1
cf_a1,75,1805,4379,0,1,1805,1
cf_a1,76,3573,1027,0,1,3573,1
cf_a1,76,3573,1027,1,2,3573,1
cf_a1,77,3260,3014,0,2,3014,0
cf_a1,77,3260,3014,1,1,3014,0
cf_a1,78,2701,105,0,1,2701,1
cf_a1,78,2701,105,1,2,2701,1
cf_a1,79,3607,3654,0,1,3607,1
cf_a1,80,357,4576,0,1,357,1
cf_a1,80,357,4576,1,2,357,1
cf_a1,79,3607,3654,1,2,3607,1
cf_a1,81,4806,3820,0,1,4806,1
cf_a1,82,1408,3853,0,1,1408,1
cf_a1,81,4806,3820,1,2,4806,1
cf_a1,82,1408,3853,1,2,1408,1
cf_a1,83,3394,442,0,2,442,0
cf_a1,83,3394,442,1,2,3394,1
cf_a1,84,560,4299,0,1,560,1
cf_a1,84,560,4299,1,2,560,1
cf_a1,86,4480,3585,1,2,4480,1
cf_a1,86,4480,3585,0,1,4480,1
cf_a1,87,1539,4238,0,1,1539,1
cf_a1,85,1351,3833,1,2,1351,1
cf_a1,85,1351,3833,0,1,1351,1
cf_a1,87,1539,4238,1,1,4238,0
cf_a1,88,781,2920,0,2,2920,0
cf_a1,88,781,2920,1,2,781,1
cf_a1,89,908,2183,1,2,908,1
cf_a1,89,908,2183,0,1,908,1
cf_a1,90,786,2548,0,1,786,1
cf_a1,90,786,2548,1,2,786,1
cf_a1,91,4161,4978,0,1,4161,1
cf_a1,92,2849,2015,0,1,2849,1
cf_a1,91,4161,4978,1,2,4161,1
cf_a1,92,2849,2015,1,1,2015,0
cf_a1,93,3320,3037,1,2,3320,1
cf_a1,93,3320,3037,0,1,3320,1
cf_a1,94,3664,1064,0,1,3664,1
cf_a1,95,2255,4253,0,1,2255,1
cf_a1,95,2255,4253,1,2,2255,1
cf_a1,96,4125,2004,0,1,4125,1
cf_a1,94,3664,1064,1,2,3664,1
cf_a1,97,1173,4755,0,1,1173,1
cf_a1,97,1173,4755,1,1,4755,0
cf_a1,98,1323,2210,1,2,1323,1
cf_a1,34,3767,2525,0,1,3767,1
cf_a1,33,4290,1335,1,2,4290,1
cf_a1,34,3767,2525,1,2,3767,1
cf_a1,35,406,4210,0,1,406,1
cf_a1,35,406,4210,1,1,4210,0
cf_a1,37,2277,728,0,1,2277,1
cf_a1,37,2277,728,1,2,2277,1
cf_a1,36,3834,1727,1,2,3834,1
cf_a1,36,3834,1727,0,1,3834,1
cf_a1,40,4244,2963,0,1,4244,1
cf_a1,39,454,4929,0,2,4929,0
cf_a1,39,454,4929,1,1,4929,0
cf_a1,38,4251,377,1,2,4251,1
cf_a1,40,4244,2963,1,2,4244,1
cf_a1,42,3806,332,0,1,3806,1
cf_a1,41,4229,432,1,1,432,0
cf_a1,96,4125,2004,1,2,4125,1
cf_a1,42,3806,332,1,2,3806,1
cf_a1,43,4457,1853,1,2,4457,1
cf_a1,43,4457,1853,0,1,4457,1
cf_a1,33,4290,1335,0,1,4290,1
cf_a1,38,4251,377,0,1,4251,1
cf_a1,98,1323,2210,0,1,1323,1
cf_a1,44,3801,4236,1,2,3801,1
cf_a1,41,4229,432,0,2,432,0
cf_a1,44,3801,4236,0,1,3801,1
cf_a1,46,2181,23,0,1,2181,1
cf_a1,46,2181,23,1,2,2181,1
cf_a1,45,1187,2453,1,2,1187,1
cf_a1,47,4225,4639,0,2,4639,0
cf_a1,48,1331,4029,0,2,4029,0
cf_a1,48,1331,4029,1,1,4029,0
cf_a1,49,880,1067,0,1,880,1
cf_a1,50,3484,2511,0,1,3484,1
cf_a1,45,1187,2453,0,1,1187,1
cf_a1,47,4225,4639,1,1,4639,0
cf_a1,49,880,1067,1,2,880,1
cf_a1,51,620,4605,0,1,620,1
cf_a1,50,3484,2511,1,2,3484,1
cf_a1,52,4142,2033,1,1,2033,0
cf_a1,53,2921,1098,1,2,2921,1
cf_a1,53,2921,1098,0,1,2921,1
cf_a1,54,3828,3041,0,1,3828,1
cf_a1,52,4142,2033,0,2,2033,0
cf_a1,51,620,4605,1,2,620,1
cf_a1,54,3828,3041,1,2,3828,1
cf_a1,55,2179,3053,0,2,3053,0
cf_a1,56,2080,913,0,1,2080,1
cf_a1,56,2080,913,1,2,2080,1
cf_a1,57,873,3691,0,1,873,1
cf_a1,55,2179,3053,1,2,2179,1
cf_a1,57,873,3691,1,2,873,1
cf_a1,58,2495,89,0,1,2495,1
cf_a1,58,2495,89,1,2,2495,1
cf_a1,59,4641,846,0,2,846,0
cf_a1,59,4641,846,1,1,846,0
cf_a1,60,1726,4207,0,1,1726,1
cf_a1,60,1726,4207,1,2,1726,1
cf_a1,61,2411,1014,1,2,2411,1
cf_a1,61,2411,1014,0,1,2411,1
cf_a1,62,4105,2201,1,2,4105,1
cf_a1,63,1779,1626,1,2,1779,1
cf_a1,63,1779,1626,0,1,1779,1
cf_a1,62,4105,2201,0,1,4105,1
cf_a1,64,4037,2324,1,2,4037,1
cf_a1,65,2880,929,1,1,929,0
cf_a1,65,2880,929,0,1,2880,1
cf_a1,64,4037,2324,0,2,2324,0
cf_a1,0,84,4107,0,1,84,1
cf_a1,0,84,4107,1,2,84,1
cf_a1,1,2251,3333,1,2,2251,1
cf_a1,3,314,1036,1,2,314,1
cf_a1,3,314,1036,0,1,314,1
cf_a1,1,2251,3333,0,1,2251,1
cf_a1,2,605,368,1,2,605,1
cf_a1,4,2193,2211,0,1,2193,1
cf_a1,2,605,368,0,1,605,1
cf_a1,4,2193,2211,1,1,2211,0
cf_a1,7,1315,2417,1,1,2417,0
cf_a1,6,2088,4086,0,2,4086,0
cf_a1,5,3664,4549,0,1,3664,1
cf_a1,5,3664,4549,1,2,3664,1
cf_a1,7,1315,2417,0,2,2417,0
cf_a1,6,2088,4086,1,1,4086,0
cf_a1,8,1143,1229,0,1,1143,1
cf_a1,8,1143,1229,1,1,1229,0
