arm,pair_id,i,j,order,patient,chosen,picked_i
factual,69,605,368,0,2,368,0
factual,67,1350,1297,1,1,1297,0
factual,66,3171,2068,0,1,3171,1
factual,66,3171,2068,1,2,3171,1
factual,68,1255,2303,1,1,2303,0
factual,67,1350,1297,0,2,1297,0
factual,68,1255,2303,0,2,2303,0
factual,69,605,368,1,1,368,0
factual,71,2692,2001,0,1,2692,1
factual,70,3499,4625,0,1,3499,1
factual,70,3499,4625,1,1,4625,0
factual,71,2692,2001,1,2,2692,1
factual,72,1320,4154,1,1,4154,0
factual,72,1320,4154,0,2,4154,0
factual,73,4316,894,0,1,4316,1
factual,73,4316,894,1,2,4316,1
factual,74,2301,4526,1,1,4526,0
factual,75,3206,2874,0,1,3206,1
factual,74,2301,4526,0,2,4526,0
factual,75,3206,2874,1,2,3206,1
factual,76,1072,3593,0,1,1072,1
factual,76,1072,3593,1,2,1072,1
factual,77,3306,2500,0,1,3306,1
factual,77,3306,2500,1,2,3306,1
factual,78,4314,847,0,1,4314,1
factual,78,4314,847,1,2,4314,1
factual,80,1745,2834,0,1,1745,1
factual,79,4379,1805,0,1,4379,1
factual,79,4379,1805,1,2,4379,1
factual,81,2701,105,0,1,2701,1
factual,81,2701,105,1,2,2701,1
factual,80,1745,2834,1,2,1745,1
factual,82,2862,1813,1,1,1813,0
factual,82,2862,1813,0,2,1813,0
factual,83,2825,300,0,1,2825,1
factual,83,2825,300,1,2,2825,1
factual,84,3607,3654,0,1,3607,1
factual,85,4806,3820,1,2,4806,1
factual,84,3607,3654,1,2,3607,1
factual,85,4806,3820,0,1,4806,1
factual,86,620,4605,0,2,4605,0
factual,87,3591,1960,0,2,1960,0
factual,86,620,4605,1,1,4605,0
factual,87,3591,1960,1,2,3591,1
factual,88,2921,1098,0,2,1098,0
factual,89,1449,1973,0,1,1449,1
factual,88,2921,1098,1,2,2921,1
factual,90,560,4299,0,2,4299,0
factual,91,4466,4949,0,2,4949,0
factual,91,4466,4949,1,2,4466,1
factual,90,560,4299,1,1,4299,0
factual,89,1449,1973,1,2,1449,1
factual,92,1948,1432,0,2,1432,0
factual,92,1948,1432,1,2,1948,1
factual,93,2080,913,1,2,2080,1
factual,93,2080,913,0,1,2080,1
factual,94,4747,3768,1,2,4747,1
factual,95,1415,2921,1,2,1415,1
factual,95,1415,2921,0,1,1415,1
factual,94,4747,3768,0,1,4747,1
factual,96,846,4641,0,2,4641,0
factual,97,4644,4217,0,2,4217,0
factual,96,846,4641,1,2,846,1
factual,33,504,706,0,1,504,1
factual,98,4253,2255,1,1,2255,0
factual,33,504,706,1,1,706,0
factual,98,4253,2255,0,2,2255,0
factual,97,4644,4217,1,1,4217,0
factual,34,1727,3834,0,1,1727,1
factual,34,1727,3834,1,2,1727,1
factual,35,314,1036,1,2,314,1
factual,35,314,1036,0,1,314,1
factual,36,3741,2517,1,2,3741,1
factual,37,1969,923,1,1,923,0
factual,36,3741,2517,0,1,3741,1
factual,38,4617,737,1,1,737,0
factual,38,4617,737,0,1,4617,1
factual,37,1969,923,0,2,923,0
factual,39,4457,1853,0,2,1853,0
factual,39,4457,1853,1,2,4457,1
factual,40,1446,695,0,2,695,0
factual,40,1446,695,1,1,695,0
factual,41,2181,23,0,1,2181,1
factual,42,3051,2991,1,2,3051,1
factual,42,3051,2991,0,1,3051,1
factual,43,503,4557,0,2,4557,0
factual,43,503,4557,1,1,4557,0
factual,41,2181,23,1,2,2181,1
factual,44,4225,4639,0,2,4639,0
factual,44,4225,4639,1,1,4639,0
factual,45,1622,654,0,1,1622,1
factual,47,3484,2511,0,1,3484,1
factual,47,3484,2511,1,2,3484,1
factual,46,4576,357,1,2,4576,1
factual,46,4576,357,0,1,4576,1
factual,48,3394,442,0,2,442,0
factual,45,1622,654,1,1,654,0
factual,49,4142,2033,0,2,2033,0
factual,48,3394,442,1,1,442,0
factual,49,4142,2033,1,1,2033,0
factual,50,613,1406,0,2,1406,0
factual,51,312,657,0,1,312,1
factual,51,312,657,1,2,312,1
factual,52,3691,873,0,2,873,0
factual,52,3691,873,1,2,3691,1
factual,50,613,1406,1,1,1406,0
factual,53,4921,1970,0,1,4921,1
factual,53,4921,1970,1,2,4921,1
factual,54,2849,2015,1,1,2015,0
factual,54,2849,2015,0,2,2015,0
factual,55,4655,161,1,1,161,0
factual,55,4655,161,0,1,4655,1
factual,56,4263,3736,0,1,4263,1
factual,56,4263,3736,1,2,4263,1
factual,58,2495,89,0,1,2495,1
factual,57,3664,1064,0,2,1064,0
factual,58,2495,89,1,2,2495,1
factual,57,3664,1064,1,1,1064,0
factual,59,3815,4349,0,2,4349,0
factual,60,2441,2313,1,1,2313,0
factual,60,2441,2313,0,2,2313,0
factual,59,3815,4349,1,1,4349,0
factual,61,3034,4272,1,2,3034,1
factual,61,3034,4272,0,2,4272,0
factual,62,2502,3721,0,1,2502,1
factual,62,2502,3721,1,2,2502,1
factual,63,1733,105,0,2,105,0
factual,63,1733,105,1,2,1733,1
factual,65,3516,4853,0,1,3516,1
factual,64,2787,665,1,2,2787,1
factual,0,3929,1806,0,1,3929,1
factual,64,2787,665,0,2,665,0
factual,65,3516,4853,1,2,3516,1
factual,0,3929,1806,1,2,3929,1
factual,1,1335,4290,1,2,1335,1
factual,1,1335,4290,0,2,4290,0
factual,2,4210,406,0,1,4210,1
factual,3,2277,728,0,2,728,0
factual,2,4210,406,1,2,4210,1
factual,3,2277,728,1,2,2277,1
factual,4,2251,3333,1,1,3333,0
factual,4,2251,3333,0,2,3333,0
factual,5,148,3232,0,1,148,1
factual,6,4244,2963,0,1,4244,1
factual,5,148,3232,1,1,3232,0
factual,7,4229,432,1,2,4229,1
factual,7,4229,432,0,1,4229,1
factual,8,332,3806,1,1,3806,0
factual,6,4244,2963,1,2,4244,1
factual,9,3801,4236,0,2,4236,0
factual,9,3801,4236,1,2,3801,1
factual,8,332,3806,0,2,3806,0
factual,10,2453,1187,0,1,2453,1
factual,11,4549,3664,0,1,4549,1
factual,12,2039,1646,0,2,1646,0
factual,11,4549,3664,1,2,4549,1
factual,10,2453,1187,1,1,1187,0
factual,12,2039,1646,1,1,1646,0
factual,13,1229,1143,0,2,1143,0
factual,14,961,4734,0,2,4734,0
factual,13,1229,1143,1,2,1229,1
factual,14,961,4734,1,2,961,1
factual,15,1331,4029,1,1,4029,0
factual,15,1331,4029,0,2,4029,0
factual,16,1668,2143,0,1,1668,1
factual,16,1668,2143,1,2,1668,1
factual,18,4688,2319,0,1,4688,1
factual,17,854,1720,1,2,854,1
factual,17,854,1720,0,1,854,1
factual,19,1226,3379,0,2,3379,0
factual,20,3131,4567,1,1,4567,0
factual,20,3131,4567,0,2,4567,0
factual,19,1226,3379,1,1,3379,0
factual,21,3585,4480,1,1,4480,0
factual,18,4688,2319,1,2,4688,1
factual,21,3585,4480,0,2,4480,0
factual,22,3828,3041,1,1,3041,0
factual,23,3053,2179,0,1,3053,1
factual,23,3053,2179,1,2,3053,1
factual,22,3828,3041,0,1,3828,1
factual,24,4778,4201,1,2,4778,1
factual,24,4778,4201,0,1,4778,1
factual,25,786,2548,0,1,786,1
factual,25,786,2548,1,2,786,1
factual,26,2546,765,0,1,2546,1
factual,27,637,4071,0,2,4071,0
factual,28,1000,4676,0,1,1000,1
factual,28,1000,4676,1,2,1000,1
factual,26,2546,765,1,1,765,0
factual,27,637,4071,1,1,4071,0
factual,29,3148,2031,0,1,3148,1
factual,29,3148,2031,1,2,3148,1
factual,30,2319,3651,0,2,3651,0
factual,30,2319,3651,1,2,2319,1
factual,31,3355,1084,1,2,3355,1
factual,31,3355,1084,0,2,1084,0
factual,32,2797,3953,0,2,3953,0
factual,32,2797,3953,1,1,3953,0
cf_a1,69,605,368,1,2,605,1
cf_a1,68,1255,2303,1,1,2303,0
cf_a1,67,1350,1297,0,2,1297,0
cf_a1,66,3171,2068,1,2,3171,1
cf_a1,68,1255,2303,0,2,2303,0
cf_a1,69,605,368,0,1,605,1
cf_a1,66,3171,2068,0,1,3171,1
cf_a1,67,1350,1297,1,1,1297,0
cf_a1,73,4316,894,1,1,894,0
cf_a1,70,3499,4625,0,1,3499,1
cf_a1,72,1320,4154,1,1,4154,0
cf_a1,71,2692,2001,1,2,2692,1
cf_a1,70,3499,4625,1,1,4625,0
cf_a1,71,2692,2001,0,1,2692,1
cf_a1,72,1320,4154,0,2,4154,0
cf_a1,73,4316,894,0,1,4316,1
cf_a1,75,3206,2874,1,2,3206,1
cf_a1,74,2301,4526,1,2,2301,1
cf_a1,76,1072,3593,0,1,1072,1
cf_a1,75,3206,2874,0,1,3206,1
cf_a1,77,3306,2500,0,1,3306,1
cf_a1,76,1072,3593,1,2,1072,1
cf_a1,74,2301,4526,0,1,2301,1
cf_a1,77,3306,2500,1,2,3306,1
cf_a1,78,4314,847,1,2,4314,1
cf_a1,79,4379,1805,1,2,4379,1
cf_a1,80,1745,2834,0,2,2834,0
cf_a1,78,4314,847,0,1,4314,1
cf_a1,79,4379,1805,0,1,4379,1
cf_a1,81,2701,105,0,2,105,0
cf_a1,80,1745,2834,1,2,1745,1
cf_a1,81,2701,105,1,2,2701,1
cf_a1,82,2862,1813,0,1,2862,1
cf_a1,83,2825,300,1,2,2825,1
cf_a1,82,2862,1813,1,1,1813,0
cf_a1,83,2825,300,0,1,2825,1
cf_a1,84,3607,3654,1,2,3607,1
cf_a1,85,4806,3820,0,1,4806,1
cf_a1,84,3607,3654,0,1,3607,1
cf_a1,85,4806,3820,1,2,4806,1
cf_a1,86,620,4605,0,2,4605,0
cf_a1,86,620,4605,1,1,4605,0
cf_a1,87,3591,1960,0,2,1960,0
cf_a1,87,3591,1960,1,2,3591,1
cf_a1,88,2921,1098,1,2,2921,1
cf_a1,89,1449,1973,0,1,1449,1
cf_a1,88,2921,1098,0,1,2921,1
cf_a1,89,1449,1973,1,2,1449,1
cf_a1,90,560,4299,0,1,560,1
cf_a1,90,560,4299,1,2,560,1
cf_a1,91,4466,4949,0,2,4949,0
cf_a1,91,4466,4949,1,2,4466,1
cf_a1,92,1948,1432,0,2,1432,0
cf_a1,92,1948,1432,1,2,1948,1
cf_a1,93,2080,913,0,1,2080,1
cf_a1,93,2080,913,1,2,2080,1
cf_a1,94,4747,3768,1,2,4747,1
cf_a1,96,846,4641,1,2,846,1
cf_a1,96,846,4641,0,1,846,1
cf_a1,95,1415,2921,1,2,1415,1
cf_a1,94,4747,3768,0,1,4747,1
cf_a1,97,4644,4217,0,2,4217,0
cf_a1,95,1415,2921,0,2,2921,0
cf_a1,98,4253,2255,0,2,2255,0
cf_a1,97,4644,4217,1,1,4217,0
cf_a1,34,1727,3834,0,1,1727,1
cf_a1,33,504,706,0,1,504,1
cf_a1,98,4253,2255,1,2,4253,1
cf_a1,33,504,706,1,1,706,0
cf_a1,35,314,1036,1,2,314,1
cf_a1,34,1727,3834,1,2,1727,1
cf_a1,35,314,1036,0,1,314,1
cf_a1,36,3741,2517,0,1,3741,1
cf_a1,37,1969,923,1,1,923,0
cf_a1,36,3741,2517,1,2,3741,1
cf_a1,38,4617,737,1,1,737,0
cf_a1,37,1969,923,0,2,923,0
cf_a1,39,4457,1853,1,2,4457,1
cf_a1,39,4457,1853,0,1,4457,1
cf_a1,40,1446,695,0,1,1446,1
cf_a1,38,4617,737,0,1,4617,1
cf_a1,40,1446,695,1,1,695,0
cf_a1,42,3051,2991,0,1,3051,1
cf_a1,41,2181,23,0,1,2181,1
cf_a1,42,3051,2991,1,2,3051,1
cf_a1,43,503,4557,1,1,4557,0
cf_a1,43,503,4557,0,2,4557,0
cf_a1,41,2181,23,1,2,2181,1
cf_a1,44,4225,4639,0,2,4639,0
cf_a1,44,4225,4639,1,1,4639,0
cf_a1,45,1622,654,1,2,1622,1
cf_a1,45,1622,654,0,1,1622,1
cf_a1,46,4576,357,0,1,4576,1
cf_a1,47,3484,2511,0,1,3484,1
cf_a1,47,3484,2511,1,2,3484,1
cf_a1,48,3394,442,1,1,442,0
cf_a1,46,4576,357,1,2,4576,1
cf_a1,48,3394,442,0,2,442,0
cf_a1,49,4142,2033,1,2,4142,1
cf_a1,50,613,1406,0,1,613,1
cf_a1,49,4142,2033,0,2,2033,0
cf_a1,50,613,1406,1,1,1406,0
cf_a1,51,312,657,0,1,312,1
cf_a1,51,312,657,1,2,312,1
cf_a1,52,3691,873,0,1,3691,1
cf_a1,52,3691,873,1,2,3691,1
cf_a1,53,4921,1970,0,1,4921,1
cf_a1,54,2849,2015,0,2,2015,0
cf_a1,53,4921,1970,1,2,4921,1
cf_a1,55,4655,161,0,1,4655,1
cf_a1,54,2849,2015,1,1,2015,0
cf_a1,55,4655,161,1,2,4655,1
cf_a1,56,4263,3736,1,2,4263,1
cf_a1,56,4263,3736,0,1,4263,1
cf_a1,57,3664,1064,0,2,1064,0
cf_a1,58,2495,89,0,1,2495,1
cf_a1,57,3664,1064,1,2,3664,1
cf_a1,58,2495,89,1,2,2495,1
