corner,rule,semantic,field,pearson_r
LL,absent,social,hemoglobin_index,-0.4435738446237412
LL,absent,social,creatinine_marker,0.42100286890709276
LL,absent,social,platelet_factor,-0.01895484069032738
LL,absent,social,fibrinogen_level,0.2668905454665696
LL,absent,social,community_health_index,0.20601586727648985
LL,absent,social,residential_risk_factor,-0.09314941382410362
LL,absent,neutral,hemoglobin_index,-0.35097108507254815
LL,absent,neutral,creatinine_marker,0.39552113661566907
LL,absent,neutral,platelet_factor,-0.03582218101045145
LL,absent,neutral,fibrinogen_level,0.15809549303675438
LL,absent,neutral,inflammation_composite,0.5407186779482118
LL,absent,neutral,oxidative_stress_ratio,0.19868701959835255
LL,provided,social,hemoglobin_index,-0.21330852871063816
LL,provided,social,creatinine_marker,0.21038032542830068
LL,provided,social,platelet_factor,0.06426866650879776
LL,provided,social,fibrinogen_level,0.08640365269216149
LL,provided,social,community_health_index,0.24415367611241032
LL,provided,social,residential_risk_factor,0.16344954851412924
