model,semantic,beta,channel,ideal_pp,model_pse_pp,excess_vs_ideal_pp,bayes_ub_pp,R_LLM,R_Ideal,gamma,gamma_lo,gamma_hi,alpha_pp,acc_delta_pp,acc_lo,acc_hi,acc_excl0,n_pairs
sonnet,neutral,0.0,temperature=0,0.0,21.212121,21.212121,0.0,0.2979797979797979,0.0202,0.146,-0.194,0.492,21.5,-7.58,-16.67,1.52,False,99
sonnet,neutral,0.3,temperature=0,4.04,21.21212121212121,17.172121212121212,6.06,0.2828282828282828,0.0404,0.146,-0.194,0.492,21.5,-7.58,-16.67,1.52,False,99
sonnet,neutral,0.45,temperature=0,13.13,25.75757575757576,12.62757575757576,17.17,0.2676767676767677,0.0505,0.146,-0.194,0.492,21.5,-7.58,-16.67,1.52,False,99
sonnet,neutral,0.6,temperature=0,23.23,23.737373737373737,0.5073737373737366,27.27,0.2222222222222222,0.0404,0.146,-0.194,0.492,21.5,-7.58,-16.67,1.52,False,99
sonnet,social,0.0,temperature=0,0.0,18.55670103092784,18.55670103092784,0.0,0.2474747474747475,0.0202,0.0861436199434507,-0.2649322651091032,0.4437209102747558,21.681495830323723,-4.04,-12.12,4.04,False,97
sonnet,social,0.3,temperature=0,4.04,23.711340206185568,19.67134020618557,6.06,0.2626262626262626,0.0404,0.0861436199434507,-0.2649322651091032,0.4437209102747558,21.681495830323723,-4.04,-12.12,4.04,False,97
sonnet,social,0.45,temperature=0,13.13,26.804123711340207,13.674123711340206,17.17,0.1969696969696969,0.0505,0.0861436199434507,-0.2649322651091032,0.4437209102747558,21.681495830323723,-4.04,-12.12,4.04,False,97
sonnet,social,0.6,temperature=0,23.23,21.1340206185567,-2.0959793814433,27.27,0.207070707070707,0.0404,0.0861436199434507,-0.2649322651091032,0.4437209102747558,21.681495830323723,-4.04,-12.12,4.04,False,97
deepseek,neutral,0.0,temperature=0,0.0,24.24242424242424,24.24242424242424,0.0,0.3383838383838384,0.0202,-0.0764407650956178,-0.2165821677709173,0.0668856694586653,24.00437495978897,-5.05,-12.13,1.52,False,99
deepseek,neutral,0.3,temperature=0,4.04,22.22222222222222,18.182222222222222,6.06,0.3282828282828283,0.0404,-0.0764407650956178,-0.2165821677709173,0.0668856694586653,24.00437495978897,-5.05,-12.13,1.52,False,99
deepseek,neutral,0.45,temperature=0,13.13,25.252525252525253,12.122525252525252,17.17,0.2626262626262626,0.0505,-0.0764407650956178,-0.2165821677709173,0.0668856694586653,24.00437495978897,-5.05,-12.13,1.52,False,99
deepseek,neutral,0.6,temperature=0,23.23,21.21212121212121,-2.0178787878787894,27.27,0.2878787878787879,0.0404,-0.0764407650956178,-0.2165821677709173,0.0668856694586653,24.00437495978897,-5.05,-12.13,1.52,False,99
deepseek,social,0.0,temperature=0,0.0,17.171717171717173,17.171717171717173,0.0,0.3333333333333333,0.0202,-0.0111476115764444,-0.1799543011626001,0.1592515939492038,20.567136331467545,-2.02,-8.08,3.54,False,99
deepseek,social,0.3,temperature=0,4.04,24.747474747474747,20.70747474747475,6.06,0.3333333333333333,0.0404,-0.0111476115764444,-0.1799543011626001,0.1592515939492038,20.567136331467545,-2.02,-8.08,3.54,False,99
deepseek,social,0.45,temperature=0,13.13,20.2020202020202,7.0720202020202,17.17,0.3232323232323232,0.0505,-0.0111476115764444,-0.1799543011626001,0.1592515939492038,20.567136331467545,-2.02,-8.08,3.54,False,99
deepseek,social,0.6,temperature=0,23.23,19.69696969696969,-3.533030303030305,27.27,0.3131313131313131,0.0404,-0.0111476115764444,-0.1799543011626001,0.1592515939492038,20.567136331467545,-2.02,-8.08,3.54,False,99
qwen,neutral,0.0,temperature=0,0.0,25.252525252525253,25.252525252525253,0.0,0.3787878787878788,0.0202,0.1528815301912355,-0.0461829622452693,0.3662786660831685,26.23367432284629,-15.15,-23.23,-7.58,True,99
qwen,neutral,0.3,temperature=0,4.04,28.282828282828284,24.242828282828285,6.06,0.3232323232323232,0.0404,0.1528815301912355,-0.0461829622452693,0.3662786660831685,26.23367432284629,-15.15,-23.23,-7.58,True,99
qwen,neutral,0.45,temperature=0,13.13,27.77777777777778,14.647777777777778,17.17,0.2676767676767677,0.0505,0.1528815301912355,-0.0461829622452693,0.3662786660831685,26.23367432284629,-15.15,-23.23,-7.58,True,99
qwen,neutral,0.6,temperature=0,23.23,29.7979797979798,6.567979797979799,27.27,0.2272727272727272,0.0404,0.1528815301912355,-0.0461829622452693,0.3662786660831685,26.23367432284629,-15.15,-23.23,-7.58,True,99
qwen,social,0.0,temperature=0,0.0,18.181818181818183,18.181818181818183,0.0,0.3484848484848485,0.0202,-0.0222952231528887,-0.218174683710409,0.162436625828188,18.280737309399733,-9.09,-16.67,-2.02,True,99
