k,corner,n_pairs,R_LLM,R_Ideal,G_ICL_pp,PSE_pp,headroom,r_obs,p_perm
6,HH,99,0.25757575757575757,0.0505,20.707575757575757,-8.080808080808081,0.4495,0.22020884803649307,0.033193361327734455
6,HL,99,0.2727272727272727,0.0606,21.21272727272727,10.1010101010101,0.4394,0.2667519676301145,0.009398120375924815
6,LH,99,0.20707070707070707,0.0101,19.697070707070708,15.656565656565657,0.4899,0.26391481310080567,0.007798440311937612
6,LL,99,0.17676767676767677,0.0101,16.666767676767677,16.161616161616163,0.4899,0.36240100612691006,0.0007998400319936012
12,HH,98,0.32142857142857145,0.0404,28.102857142857147,16.83673469387755,0.4596,0.4089577660042259,0.0001999600079984003
12,HL,99,0.3434343434343434,0.0202,32.32343434343434,16.161616161616163,0.4798,0.22436723449825094,0.02519496100779844
12,LH,99,0.29797979797979796,0.0202,27.777979797979796,21.21212121212121,0.4798,0.16384504823668308,0.10537892421515697
12,LL,99,0.29292929292929293,0.0101,28.282929292929293,21.71717171717172,0.4899,0.16916856770713007,0.10457908418316336
18,HH,99,0.4444444444444444,0.2323,21.214444444444442,27.27272727272727,0.2677,-0.03391847163934522,0.7728454309138172
18,HL,98,0.37755102040816324,0.1919,18.565102040816324,15.816326530612246,0.30810000000000004,0.2103862952586195,0.041791641671665665
18,LH,99,0.3888888888888889,0.0202,36.86888888888889,23.232323232323232,0.4798,0.2532233800707383,0.011797640471905619
18,LL,98,0.3826530612244898,0.0,38.265306122448976,26.53061224489796,0.5,0.11538605205230955,0.24575084983003398
