k,corner,semantic,rule,informative,n_pairs,missing_rate,R_LLM,R_LLM_lo,R_LLM_hi,R_Ideal,G_ICL_pp,PSE_pp,PSE_lo,PSE_hi,beta,PSE_Ideal_pp,excess_vs_Ideal_pp,PSE_Bayes_pp,excess_PSE_pp,calls_expected,calls_recorded
12,LH,neutral,absent,False,99,0.0,0.3434343434343434,0.25757575757575757,0.4292929292929293,,,22.22222222222222,15.656565656565657,29.292929292929294,,,,0.0,22.22222222222222,594,594
12,LH,social,absent,False,99,0.0,0.30303030303030304,0.2222222222222222,0.3838383838383838,,,15.656565656565657,10.606060606060606,21.71717171717172,,,,0.0,15.656565656565657,594,594
12,LH,neutral,absent,True,99,0.0,0.29797979797979796,0.21717171717171718,0.3838383838383838,,,22.22222222222222,15.656565656565657,29.292929292929294,0.4,,,10.1010101010101,12.121212121212121,594,594
12,LH,social,absent,True,99,0.0,0.2676767676767677,0.1919191919191919,0.3434343434343434,,,16.161616161616163,10.606060606060606,22.22222222222222,0.4,,,10.1010101010101,6.060606060606062,594,594
6,HH,neutral,learned,False,99,0.0,0.3383838383838384,0.2727272727272727,0.40404040404040403,0.010101010101010102,32.82828282828283,17.67676767676768,12.121212121212121,23.232323232323232,,,,0.0,17.67676767676768,594,594
6,LH,neutral,learned,False,99,0.0,0.3282828282828283,0.2676767676767677,0.3939393939393939,0.010101010101010102,31.818181818181817,15.656565656565657,10.606060606060606,20.707070707070706,,,,0.0,15.656565656565657,594,594
12,LH,neutral,learned,False,99,0.0,0.3383838383838384,0.26262626262626265,0.41414141414141414,0.020202020202020204,31.818181818181817,24.242424242424242,18.68686868686869,29.797979797979796,,,,0.0,24.242424242424242,594,594
12,LH,social,learned,False,99,0.0,0.3333333333333333,0.2676767676767677,0.3939393939393939,0.020202020202020204,31.313131313131308,17.17171717171717,11.616161616161616,22.727272727272727,,,,0.0,17.17171717171717,594,594
18,HH,neutral,learned,False,99,0.0,0.2878787878787879,0.2222222222222222,0.35353535353535354,0.030303030303030304,25.757575757575758,14.14141414141414,8.585858585858585,19.696969696969695,,,,0.0,14.14141414141414,594,594
18,LH,neutral,learned,False,99,0.0,0.40404040404040403,0.3333333333333333,0.47474747474747475,0.020202020202020204,38.38383838383838,21.21212121212121,16.161616161616163,26.262626262626267,,,,0.0,21.21212121212121,594,594
12,LH,neutral,learned,True,99,0.0,0.3282828282828283,0.25757575757575757,0.398989898989899,0.04040404040404041,28.78787878787879,22.22222222222222,17.17171717171717,27.27272727272727,0.3,4.040404040404041,18.18181818181818,6.0606060606060606,16.16161616161616,594,594
12,LH,neutral,learned,True,99,0.0,0.26262626262626265,0.20202020202020202,0.3282828282828283,0.050505050505050504,21.212121212121215,25.252525252525253,20.2020202020202,30.303030303030305,0.45,13.131313131313133,12.12121212121212,17.17171717171717,8.080808080808083,594,594
12,LH,neutral,learned,True,99,0.0,0.2878787878787879,0.2222222222222222,0.35858585858585856,0.04040404040404041,24.747474747474747,21.21212121212121,16.161616161616163,26.275252525252345,0.6,23.232323232323232,-2.0202020202020208,27.27272727272727,-6.060606060606059,594,594
12,LH,social,learned,True,99,0.0,0.3333333333333333,0.2676767676767677,0.398989898989899,0.04040404040404041,29.292929292929294,24.747474747474747,19.696969696969695,29.810606060605878,0.3,4.040404040404041,20.707070707070706,6.0606060606060606,18.686868686868685,594,594
12,LH,social,learned,True,99,0.0,0.32323232323232326,0.26262626262626265,0.3838383838383838,0.050505050505050504,27.272727272727277,20.2020202020202,15.656565656565657,25.252525252525253,0.45,13.131313131313133,7.070707070707067,17.17171717171717,3.030303030303031,594,594
12,LH,social,learned,True,99,0.0,0.31313131313131315,0.25252525252525254,0.37373737373737376,0.04040404040404041,27.272727272727277,19.696969696969695,14.646464646464647,24.747474747474747,0.6,23.232323232323232,-3.5353535353535364,27.27272727272727,-7.575757575757574,594,594
