Z_index,corner,proxymag,q,p,w,n_Q,n_P
0,LL,lo,0.125,0.037037037037037035,0.2962962962962963,13,4
1,LL,hi,0.125,0.07407407407407407,0.5925925925925926,13,7
2,LH,lo,0.125,0.14814814814814814,1.1851851851851851,13,15
3,LH,hi,0.125,0.2962962962962963,2.3703703703703702,13,30
4,HL,lo,0.125,0.1111111111111111,0.8888888888888888,12,11
5,HL,hi,0.125,0.2222222222222222,1.7777777777777777,12,22
6,HH,lo,0.125,0.037037037037037035,0.2962962962962963,12,4
7,HH,hi,0.125,0.07407407407407407,0.5925925925925926,12,7

# summary
metric,value
max_w,2.3703703703703702
min_w,0.2962962962962963
mean_w,1.0044444444444445
var_w,0.48793635116598083
ESS_over_n,0.6740234604105574
Q_stratum0_pct,0.36
Q_stratum1_pct,0.32
Q_stratum2_pct,0.32
P_stratum0_pct,0.37
P_stratum1_pct,0.32
P_stratum2_pct,0.31
tau_sd_across_Z_pp,9.458777408572654
tau_range_across_Z_pp,28.685897435897438
missing_rate,0.000429553264604811
