metric,value
E_Q_tau_pp,13.25
E_P_tau_pp,12.5
transport_gap_pp,-0.7500000000000007
transport_gap_ci_lo,-7.006249999999999
transport_gap_ci_hi,5.75
gap_ci_excludes_zero,0.0
cov_Q_w_tau_pp,-2.642222222222222
cov_ci_lo,-5.080037037037036
cov_ci_hi,-0.38509259259259393
cov_identity_rel_dev,2.522962626567942
IW_estimate_of_E_P_pp,10.666666666666666
IW_residual_gap_pp,1.833333333333334
IW_residual_ci_lo,-4.55671296296296
IW_residual_ci_hi,8.240740740740739
IW_hajek_estimate_pp,10.619469026548671
DR_E_P_pp,10.552884615384619
DR_residual_pp,1.947115384615382
DR_residual_ci_lo,-4.209735873297457
DR_residual_ci_hi,8.015929968724084
partial_id_bound_pp,16.280077602670424
