cell,stratum,m_bin,w_Z,n_Q_in_cell,n_P_in_cell
0,0,0,0.42857142857142855,12,5
1,0,1,0.8571428571428571,11,10
2,0,2,1.7142857142857142,11,19
3,1,0,0.42857142857142855,11,5
4,1,1,0.8571428571428571,11,9
5,1,2,1.7142857142857142,11,19
6,2,0,0.42857142857142855,11,5
7,2,1,0.8571428571428571,11,9
8,2,2,1.7142857142857142,11,19
summary,,,,,

metric,value
w_min,0.42857142857142855
w_max,1.7142857142857142
w_mean_Q,0.9942857142857142
w_sd_Q,0.5348736261196352
ess_ratio_hajek,0.7755619596541785
clip_needed,no (max w=1.71 << 10)
