metric,value,ci_lo_pp,ci_hi_pp
E_Q_tau_pp,6.25,,
E_P_tau_pp,2.5,,
transport_gap_pp,-3.75,-8.0,0.4999999999999998
cov_Q_w_tau_pp,-2.1428571428571423,-3.6762053571428566,-0.8012142857142888
covariance_identity_relative_dev,0.4285714285714287,,
E_P_hat_IW_Hajek_pp,4.094827586206896,,
iw_residual_gap_pp,-1.5948275862068955,-2.9495893246508316,-0.043791964479100026
DR_E_P_pp,4.09659090909091,,
DR_gap_pp,-2.15340909090909,-4.335389610389609,-0.1087256493506487
partial_id_bound_pp,9.142858537946323,,
E_Q_w,0.9942857142857142,,
Var_Q_w,0.2860897959183673,,
Var_Q_tau,0.02921875,,
n_Q,100.0,,
n_P,100.0,,
missing_rate,0.0,,
