dist,stratum,mag_bin,n,tau,w,Z_cell
Q,0,low,11,0.20454545454545456,0.42857142857142855,0_low
Q,0,mid,11,0.20454545454545456,0.8571428571428571,0_mid
Q,0,high,11,0.0,1.7142857142857142,0_high
Q,1,low,11,0.25,0.42857142857142855,1_low
Q,1,mid,11,0.1590909090909091,0.8571428571428571,1_mid
Q,1,high,12,0.125,1.7142857142857142,1_high
Q,2,low,11,0.18181818181818182,0.42857142857142855,2_low
Q,2,mid,11,0.13636363636363635,0.8571428571428571,2_mid
Q,2,high,11,0.13636363636363635,1.7142857142857142,2_high
P,0,low,5,0.35,0.42857142857142855,0_low
P,0,mid,10,0.05,0.8571428571428571,0_mid
P,0,high,19,0.15789473684210525,1.7142857142857142,0_high
P,1,low,5,0.2,0.42857142857142855,1_low
P,1,mid,9,0.19444444444444445,0.8571428571428571,1_mid
P,1,high,19,0.15789473684210525,1.7142857142857142,1_high
P,2,low,5,0.55,0.42857142857142855,2_low
P,2,mid,6,0.4583333333333333,0.8571428571428571,2_mid
P,2,high,0,,1.7142857142857142,2_high
