stratum,mag_bin,w_Z,q_Z_target,p_Z_target,nQ,nP,w_min,w_max,w_mean,w_var,w_ess_over_n
0,0,0.42857142857142855,0.1111111111111111,0.047619047619047616,12,5,,,,,
0,1,0.8571428571428571,0.1111111111111111,0.09523809523809523,11,10,,,,,
0,2,1.7142857142857142,0.1111111111111111,0.19047619047619047,11,18,,,,,
1,0,0.42857142857142855,0.1111111111111111,0.047619047619047616,11,5,,,,,
1,1,0.8571428571428571,0.1111111111111111,0.09523809523809523,11,10,,,,,
1,2,1.7142857142857142,0.1111111111111111,0.19047619047619047,11,18,,,,,
2,0,0.42857142857142855,0.1111111111111111,0.047619047619047616,11,5,,,,,
2,1,0.8571428571428571,0.1111111111111111,0.09523809523809523,11,10,,,,,
2,2,1.7142857142857142,0.1111111111111111,0.19047619047619047,11,19,,,,,
ALL,ALL,,,,100,100,0.42857142857142855,1.7142857142857142,0.9942857142857139,0.28897959183673466,0.7755619596541781
