dist,stratum,mag_bin,n_pairs,tau_pp,w_Z
Q,0,0,12,12.5,0.42857142857142855
Q,0,1,11,6.8181818181818175,0.8571428571428571
Q,0,2,11,15.909090909090908,1.7142857142857142
Q,1,0,11,13.636363636363635,0.42857142857142855
Q,1,1,11,4.545454545454546,0.8571428571428571
Q,1,2,11,6.8181818181818175,1.7142857142857142
Q,2,0,11,4.545454545454546,0.42857142857142855
Q,2,1,11,6.8181818181818175,0.8571428571428571
Q,2,2,11,6.8181818181818175,1.7142857142857142
P,0,0,5,10.0,0.42857142857142855
P,0,1,10,10.0,0.8571428571428571
P,0,2,18,6.944444444444445,1.7142857142857142
P,1,0,5,20.0,0.42857142857142855
P,1,1,10,10.0,0.8571428571428571
P,1,2,18,6.944444444444445,1.7142857142857142
P,2,0,5,5.0,0.42857142857142855
P,2,1,10,10.0,0.8571428571428571
P,2,2,19,6.578947368421052,1.7142857142857142
