k,informative,semantic,R_LLM,PSE_pp,PSE_ci_lo,PSE_ci_hi,PSE_Bayes_pp,excess_PSE_pp,excess_ci_lo,excess_ci_hi,n_pairs,missing_rate,cost_pp,ci_lo,ci_hi,excl0
6,False,neutral,0.373737,11.111111,6.060606,16.666667,0.0,11.111111,6.060606,16.666667,99,0.0,-17.67676767676768,-25.252525252525253,-10.1010101010101,True
6,False,social,0.196969696969697,2.525252525252525,-2.0202020202020203,7.07070707070707,0.0,2.525252525252525,-2.0202020202020203,7.07070707070707,99,0.0,-17.67676767676768,-25.252525252525253,-10.1010101010101,True
12,False,neutral,0.3535353535353535,19.696969696969695,13.636363636363637,26.262626262626267,0.0,19.696969696969695,13.636363636363637,26.262626262626267,99,0.0,-4.545454545454546,-12.121212121212121,3.0303030303030303,False
12,False,social,0.308080808080808,-1.0101010101010102,-5.05050505050505,3.0303030303030303,0.0,-1.0101010101010102,-5.05050505050505,3.0303030303030303,99,0.0,-4.545454545454546,-12.121212121212121,3.0303030303030303,False
18,False,neutral,0.398989898989899,14.646464646464649,9.090909090909092,20.707070707070702,0.0,14.646464646464649,9.090909090909092,20.707070707070702,99,0.0,-9.090909090909092,-16.161616161616163,-2.525252525252525,True
18,False,social,0.308080808080808,-1.5151515151515151,-5.555555555555555,2.0202020202020203,0.0,-1.5151515151515151,-5.555555555555555,2.0202020202020203,99,0.0,-9.090909090909092,-16.161616161616163,-2.525252525252525,True
6,True,neutral,0.303030303030303,12.626262626262626,7.575757575757576,18.181818181818183,14.14141414141414,-1.5151515151515138,-6.565656565656564,4.040404040404043,99,0.0,0.0,-7.575757575757576,7.575757575757576,False
6,True,social,0.303030303030303,4.545454545454546,0.0,9.090909090909092,14.14141414141414,-9.595959595959595,-14.14141414141414,-5.050505050505048,99,0.0,0.0,-7.575757575757576,7.575757575757576,False
12,True,neutral,0.298,17.1717,11.1111,23.7374,10.101,7.0707,1.0101,13.6364,99,0.0,2.525252525252525,-5.05050505050505,10.1010101010101,False
12,True,social,0.3232323232323232,-0.5050505050505051,-4.040404040404041,3.0303030303030303,10.1010101010101,-10.606060606060606,-14.141414141414142,-7.07070707070707,99,0.0,2.525252525252525,-5.05050505050505,10.1010101010101,False
18,True,neutral,0.3131313131313131,12.626262626262626,8.080808080808081,17.67676767676768,11.11111111111111,1.5151515151515156,-3.5353535353535346,6.5656565656565675,99,0.0,0.5050505050505051,-6.0606060606060606,7.07070707070707,False
18,True,social,0.3181818181818182,-1.0101010101010102,-5.05050505050505,3.0303030303030303,11.11111111111111,-12.12121212121212,-16.16161616161616,-8.08080808080808,99,0.0,0.5050505050505051,-6.0606060606060606,7.07070707070707,False
