k,informative,semantic,n_pairs_x,R_LLM,R_Ideal,G_ICL_pp,g_lo,g_hi,n_pairs_y,PSE_pp,ci_lo,ci_hi,PSE_Bayes,excess,ex_lo,ex_hi,n_pairs,sem_delta_pp,sd_lo,sd_hi,excl0
6,False,social,99,0.13636363636363635,0.0101,12.626363636363635,7.575858585858586,18.181919191919192,99,6.565656565656567,2.0202020202020203,11.616161616161616,0.0,6.565656565656567,2.0202020202020203,11.616161616161616,99,-9.090909090909092,-17.17171717171717,-1.5151515151515151,True
6,False,neutral,99,0.20707070707070707,0.0101,19.697070707070708,13.636464646464647,26.262727272727272,99,15.656565656565657,9.090909090909092,22.22222222222222,0.0,15.656565656565657,9.090909090909092,22.22222222222222,99,-9.090909090909092,-17.17171717171717,-1.5151515151515151,True
6,True,social,99,0.16666666666666666,0.0505,11.616666666666665,6.06111111111111,17.677272727272726,99,23.737373737373737,17.67676767676768,30.303030303030305,14.14,9.597373737373736,3.5367676767676777,16.163030303030304,99,1.5151515151515151,-6.565656565656567,9.595959595959595,False
6,True,neutral,99,0.20707070707070707,0.0505,15.657070707070709,9.596464646464646,22.222727272727273,99,22.22222222222222,14.646464646464647,29.797979797979796,14.14,8.08222222222222,0.5064646464646465,15.657979797979795,99,1.5151515151515151,-6.565656565656567,9.595959595959595,False
12,False,social,99,0.2474747474747475,0.0202,22.727474747474748,16.149191919191924,29.798181818181817,97,18.556701030927837,12.371134020618557,24.75515463917507,0.0,18.556701030927837,12.371134020618557,24.75515463917507,97,-3.608247422680412,-12.371134020618557,5.154639175257731,False
12,False,neutral,99,0.29797979797979796,0.0202,27.777979797979796,20.202222222222222,35.353737373737374,99,21.21212121212121,13.636363636363635,28.80050505050487,0.0,21.21212121212121,13.636363636363635,28.80050505050487,97,-3.608247422680412,-12.371134020618557,5.154639175257731,False
12,True,social,99,0.20202020202020202,0.0707,13.1320202020202,6.5663636363636355,20.202727272727273,99,18.181818181818183,12.121212121212121,24.747474747474747,10.1,8.081818181818184,2.0212121212121215,14.647474747474748,99,-4.545454545454546,-13.131313131313133,4.040404040404041,False
12,True,neutral,99,0.29797979797979796,0.0707,22.727979797979796,15.657272727272725,29.798686868686868,99,22.727272727272727,16.666666666666664,29.292929292929294,10.1,12.627272727272727,6.566666666666665,19.192929292929293,99,-4.545454545454546,-13.131313131313133,4.040404040404041,False
18,False,social,99,0.3383838383838384,0.0202,31.81838383838384,24.242626262626267,39.89919191919192,99,12.626262626262626,6.0606060606060606,19.696969696969695,0.0,12.626262626262626,6.0606060606060606,19.696969696969695,99,-10.606060606060606,-19.19191919191919,-2.525252525252525,True
18,False,neutral,99,0.3888888888888889,0.0202,36.86888888888889,28.788080808080807,44.94969696969697,99,23.232323232323232,17.17171717171717,29.797979797979796,0.0,23.232323232323232,17.17171717171717,29.797979797979796,99,-10.606060606060606,-19.19191919191919,-2.525252525252525,True
18,True,social,99,0.25757575757575757,0.0707,18.687575757575758,12.12191919191919,25.75828282828283,99,19.19191919191919,12.626262626262626,25.757575757575758,11.11,8.08191919191919,1.5162626262626269,14.647575757575758,99,-13.636363636363635,-22.727272727272727,-5.05050505050505,True
18,True,neutral,99,0.2828282828282828,0.0707,21.212828282828283,13.63707070707071,28.788585858585858,99,32.82828282828283,25.252525252525253,40.909090909090914,11.11,21.71828282828283,14.142525252525253,29.799090909090914,99,-13.636363636363635,-22.727272727272727,-5.05050505050505,True
