k,corner,semantic,rule,informative,n_pairs,missing_rate,R_LLM,R_LLM_lo,R_LLM_hi,R_Ideal,G_ICL_pp,PSE_pp,PSE_lo,PSE_hi,beta,PSE_Ideal_pp,excess_vs_Ideal_pp,PSE_Bayes_pp,excess_PSE_pp,calls_expected,calls_recorded
12,LH,neutral,absent,False,99,0.0,0.3484848484848485,0.26262626262626265,0.4292929292929293,,,22.727272727272727,16.666666666666664,29.292929292929294,,,,0.0,22.727272727272727,594,594
12,LH,social,absent,False,99,0.0,0.32323232323232326,0.2474747474747475,0.398989898989899,,,7.575757575757576,3.0303030303030303,12.626262626262626,,,,0.0,7.575757575757576,594,594
12,LH,neutral,absent,True,99,0.0,0.30808080808080807,0.23232323232323232,0.3888888888888889,,,22.22222222222222,16.161616161616163,28.78787878787879,0.4,,,10.1010101010101,12.121212121212121,594,594
12,LH,social,absent,True,99,0.0,0.31313131313131315,0.23737373737373738,0.3888888888888889,,,7.575757575757576,2.525252525252525,12.626262626262626,0.4,,,10.1010101010101,-2.525252525252524,594,594
6,HH,neutral,learned,False,99,0.0,0.21717171717171718,0.14646464646464646,0.29292929292929293,0.010101010101010102,20.707070707070706,8.585858585858585,4.040404040404041,13.131313131313133,,,,0.0,8.585858585858585,594,594
6,LH,neutral,learned,False,99,0.0,0.08585858585858586,0.045454545454545456,0.13131313131313133,0.010101010101010102,7.575757575757576,6.565656565656567,2.525252525252525,11.11111111111111,,,,0.0,6.565656565656567,594,594
12,LH,neutral,learned,False,99,0.0,0.3333333333333333,0.25252525252525254,0.41414141414141414,0.020202020202020204,31.313131313131308,29.292929292929294,22.209595959595962,37.37373737373738,,,,0.0,29.292929292929294,594,594
12,LH,social,learned,False,99,0.0,0.2878787878787879,0.20707070707070707,0.3686868686868687,0.020202020202020204,26.767676767676768,26.262626262626267,19.19191919191919,33.83838383838384,,,,0.0,26.262626262626267,594,594
18,HH,neutral,learned,False,99,0.0,0.20202020202020202,0.13636363636363635,0.2727272727272727,0.030303030303030304,17.17171717171717,11.616161616161616,6.565656565656567,16.666666666666664,,,,0.0,11.616161616161616,594,594
18,LH,neutral,learned,False,99,0.0,0.4292929292929293,0.3434343434343434,0.5151515151515151,0.020202020202020204,40.90909090909091,27.27272727272727,19.696969696969695,35.35353535353536,,,,0.0,27.27272727272727,594,594
12,LH,neutral,learned,True,99,0.0,0.3383838383838384,0.25252525252525254,0.42424242424242425,0.04040404040404041,29.7979797979798,31.818181818181817,23.737373737373737,40.4040404040404,0.3,4.040404040404041,27.777777777777775,6.0606060606060606,25.757575757575758,594,594
12,LH,neutral,learned,True,99,0.0,0.23737373737373738,0.16161616161616163,0.31313131313131315,0.050505050505050504,18.68686868686869,31.818181818181817,23.737373737373737,39.8989898989899,0.45,13.131313131313133,18.686868686868685,17.17171717171717,14.646464646464647,594,594
12,LH,neutral,learned,True,99,0.0,0.21212121212121213,0.1414141414141414,0.2878787878787879,0.04040404040404041,17.17171717171717,31.818181818181817,24.242424242424242,39.8989898989899,0.6,23.232323232323232,8.585858585858585,27.27272727272727,4.545454545454547,594,594
12,LH,social,learned,True,99,0.0,0.25757575757575757,0.17676767676767677,0.3383838383838384,0.04040404040404041,21.717171717171716,27.77777777777778,20.707070707070706,35.35353535353536,0.3,4.040404040404041,23.737373737373737,6.0606060606060606,21.717171717171716,594,594
12,LH,social,learned,True,99,0.0,0.18686868686868688,0.11616161616161616,0.25757575757575757,0.050505050505050504,13.636363636363638,26.767676767676768,19.696969696969695,34.34343434343434,0.45,13.131313131313133,13.636363636363635,17.17171717171717,9.595959595959599,594,594
12,LH,social,learned,True,99,0.0,0.18686868686868688,0.12121212121212122,0.25757575757575757,0.04040404040404041,14.646464646464647,28.28282828282828,21.71717171717172,35.35353535353536,0.6,23.232323232323232,5.050505050505048,27.27272727272727,1.0101010101010104,594,594
