k,corner,semantic,rule,informative,n_pairs,missing_rate,R_LLM,R_LLM_lo,R_LLM_hi,R_Ideal,G_ICL_pp,PSE_pp,PSE_lo,PSE_hi,beta,PSE_Ideal_pp,excess_vs_Ideal_pp,PSE_Bayes_pp,excess_PSE_pp,calls_expected,calls_recorded
12,LH,neutral,absent,False,99,0.0,0.35858585858585856,0.2727272727272727,0.4444444444444444,,,20.2020202020202,13.636363636363635,26.767676767676768,,,,0.0,20.2020202020202,594,594
12,LH,social,absent,False,99,0.0,0.3181818181818182,0.24242424242424243,0.3939393939393939,,,11.11111111111111,6.565656565656567,16.161616161616163,,,,0.0,11.11111111111111,594,594
12,LH,neutral,absent,True,99,0.0,0.3181818181818182,0.23737373737373738,0.398989898989899,,,20.2020202020202,13.636363636363635,26.767676767676768,0.4,,,10.1010101010101,10.1010101010101,594,594
12,LH,social,absent,True,99,0.0,0.30808080808080807,0.23232323232323232,0.3838383838383838,,,11.616161616161616,6.565656565656567,17.17171717171717,0.4,,,10.1010101010101,1.5151515151515156,594,594
6,HH,neutral,learned,False,99,0.0,0.29292929292929293,0.21212121212121213,0.3787878787878788,0.010101010101010102,28.28282828282828,26.262626262626267,19.19191919191919,33.83838383838384,,,,0.0,26.262626262626267,594,594
6,LH,neutral,learned,False,99,0.0,0.3181818181818182,0.23737373737373738,0.40404040404040403,0.010101010101010102,30.808080808080806,19.696969696969695,13.636363636363635,26.262626262626267,,,,0.0,19.696969696969695,594,594
12,LH,neutral,learned,False,99,0.0,0.3787878787878788,0.29292929292929293,0.46464646464646464,0.020202020202020204,35.858585858585855,25.252525252525253,18.68686868686869,32.323232323232325,,,,0.0,25.252525252525253,594,594
12,LH,social,learned,False,99,0.0,0.3484848484848485,0.2727272727272727,0.4292929292929293,0.020202020202020204,32.82828282828283,18.181818181818183,12.626262626262626,23.737373737373737,,,,0.0,18.181818181818183,594,594
18,HH,neutral,learned,False,99,0.0,0.24242424242424243,0.1717171717171717,0.32323232323232326,0.030303030303030304,21.21212121212121,15.656565656565657,9.595959595959595,21.71717171717172,,,,0.0,15.656565656565657,594,594
18,LH,neutral,learned,False,99,0.0,0.43434343434343436,0.3484848484848485,0.5151515151515151,0.020202020202020204,41.41414141414141,24.242424242424242,18.181818181818183,30.303030303030305,,,,0.0,24.242424242424242,594,594
12,LH,neutral,learned,True,99,0.0,0.32323232323232326,0.24242424242424243,0.4090909090909091,0.04040404040404041,28.282828282828287,28.28282828282828,21.21212121212121,35.858585858585855,0.3,4.040404040404041,24.24242424242424,6.0606060606060606,22.22222222222222,594,594
12,LH,neutral,learned,True,99,0.0,0.2676767676767677,0.1919191919191919,0.3484848484848485,0.050505050505050504,21.71717171717172,27.77777777777778,20.707070707070706,35.35353535353536,0.45,13.131313131313133,14.646464646464645,17.17171717171717,10.606060606060609,594,594
12,LH,neutral,learned,True,99,0.0,0.22727272727272727,0.16161616161616163,0.30303030303030304,0.04040404040404041,18.686868686868685,29.797979797979796,22.22222222222222,37.878787878787875,0.6,23.232323232323232,6.565656565656564,27.27272727272727,2.525252525252526,594,594
12,LH,social,learned,True,99,0.0,0.3181818181818182,0.24242424242424243,0.398989898989899,0.04040404040404041,27.77777777777778,17.67676767676768,12.121212121212121,23.737373737373737,0.3,4.040404040404041,13.636363636363637,6.0606060606060606,11.616161616161618,594,594
12,LH,social,learned,True,99,0.0,0.25757575757575757,0.18686868686868688,0.3333333333333333,0.050505050505050504,20.707070707070706,19.19191919191919,13.636363636363635,25.252525252525253,0.45,13.131313131313133,6.060606060606057,17.17171717171717,2.0202020202020208,594,594
12,LH,social,learned,True,99,0.0,0.25757575757575757,0.18686868686868688,0.3333333333333333,0.04040404040404041,21.717171717171716,17.17171717171717,11.11111111111111,23.232323232323232,0.6,23.232323232323232,-6.060606060606062,27.27272727272727,-10.1010101010101,594,594
