model,seed,rule,sem,pse,lo,hi,n
DeepSeek-V4-Flash-0731,20001,absent,neutral,22.727272727272727,17.17171717171717,28.78787878787879,99
DeepSeek-V4-Flash-0731,20001,absent,social,16.161616161616163,10.606060606060606,22.22222222222222,99
DeepSeek-V4-Flash-0731,20001,learned,neutral,17.17171717171717,12.12121212121212,22.22222222222222,99
DeepSeek-V4-Flash-0731,20001,learned,social,12.626262626262626,8.585858585858585,17.17171717171717,99
DeepSeek-V4-Flash-0731,20002,absent,neutral,20.2020202020202,14.14141414141414,26.767676767676768,99
DeepSeek-V4-Flash-0731,20002,absent,social,10.606060606060606,6.0606060606060606,15.656565656565656,99
DeepSeek-V4-Flash-0731,20002,learned,neutral,11.11111111111111,6.0606060606060606,15.656565656565656,99
DeepSeek-V4-Flash-0731,20002,learned,social,12.12121212121212,8.068181818181824,16.666666666666664,99
qwen3.7-max,20001,absent,neutral,22.22222222222222,15.656565656565656,29.29292929292929,99
qwen3.7-max,20001,absent,social,11.11111111111111,6.0606060606060606,16.666666666666664,99
qwen3.7-max,20001,learned,neutral,24.24242424242424,17.67676767676768,31.313131313131315,99
qwen3.7-max,20001,learned,social,16.161616161616163,10.606060606060606,22.22222222222222,99
qwen3.7-max,20002,absent,neutral,17.17171717171717,10.606060606060606,24.24242424242424,99
qwen3.7-max,20002,absent,social,7.07070707070707,2.525252525252525,11.628787878787696,99
qwen3.7-max,20002,learned,neutral,26.767676767676768,20.2020202020202,33.33333333333333,99
qwen3.7-max,20002,learned,social,13.636363636363637,8.080808080808081,19.19191919191919,99
